Parent	Child
207	183
207	192
272	207
242	208
245	209
262	213
254	214
254	215
254	216
254	219
261	221
265	223
322	224
252	226
247	227
269	229
244	231
244	232
252	234
245	235
250	236
252	238
298	239
286	240
291	241
303	243
268	244
268	245
268	246
269	247
276	248
268	249
272	250
272	252
268	253
283	254
268	255
272	256
276	257
272	260
268	261
269	263
268	266
286	267
299	268
294	269
316	271
294	272
297	273
299	274
365	275
303	276
299	280
297	281
299	282
292	283
298	284
312	286
322	288
321	291
310	292
307	293
310	294
315	296
322	298
316	299
305	302
316	303
316	304
322	305
325	306
331	307
322	308
343	310
322	311
322	312
322	314
327	315
321	316
320	318
328	319
334	320
356	321
347	322
334	323
342	325
333	326
356	327
369	330
354	331
347	333
347	334
347	337
347	340
349	341
355	342
371	343
371	344
355	345
384	347
409	348
363	349
369	352
441	354
384	355
371	356
379	358
377	360
384	361
397	362
385	363
384	364
435	365
382	367
384	368
439	369
384	370
384	371
385	372
386	377
416	381
384	383
413	384
417	385
403	386
391	388
431	389
397	390
402	391
407	392
404	393
411	394
405	395
419	397
401	400
425	401
416	402
419	403
410	404
414	405
417	406
424	407
430	408
469	409
423	410
421	411
460	412
438	413
469	414
466	415
438	416
461	417
462	418
430	419
459	421
461	422
445	423
466	424
438	425
469	426
465	430
445	432
461	434
444	435
444	438
459	439
442	440
456	441
469	442
469	443
469	444
469	445
459	446
469	447
460	448
465	449
466	450
469	451
469	452
469	454
469	456
469	457
469	459
469	460
469	461
469	462
469	463
469	464
469	465
469	466
469	468
