threshold	term	GeneSize	WindowSize	key	value
1.0	183	6	11	AT1G29920,AT1G23740,AT1G10170,AT1G15820,AT3G22690,AT3G57680	23,24,25,26,27,28,29,30,31,32,33
1.0	184	9	2	AT2G17630,AT2G29500,AT5G08540,AT1G76760,AT5G19370,AT1G12250,AT2G44990,AT1G80030,AT5G01500	23,24
1.0	185	5	21	AT4G13670,AT5G52970,AT3G15360,AT5G12470,AT1G07510	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0	186	6	21	AT2G42975,AT1G07510,AT1G15820,AT1G50250,AT3G24590,AT5G12470	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1.0	187	5	26	AT3G57680,AT5G52970,AT1G15820,AT5G12470,AT2G24020	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.0	188	5	2	AT5G16150,AT1G22020,AT1G50460,AT3G25480,AT4G38380	23,24
1.0	189	5	15	AT4G35770,AT2G40760,AT3G22690,AT1G10170,AT1G06690	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1.0	190	5	3	AT3G15840,AT1G51350,AT3G28850,AT4G16155,AT1G22450	23,24,25
1.0	191	8	2	AT5G20140,AT5G02160,AT5G13120,AT4G18370,AT4G04020,AT2G40100,AT5G15250,AT5G52780	23,24
1.0	192	6	11	AT1G29920,AT1G23740,AT1G10170,AT4G20820,AT1G15820,AT3G22690	23,24,25,26,27,28,29,30,31,32,33
1.0	193	5	13	AT5G16150,AT4G39460,AT3G58010,AT4G38380,AT5G16660	23,24,25,26,27,28,29,30,31,32,33,34,35
1.0	194	5	2	AT3G47060,AT5G20140,AT5G13120,AT1G27510,AT4G37925	23,24
1.0	195	5	3	AT1G75690,AT1G51350,AT3G28850,AT4G27700,AT1G22450	23,24,25
1.0	196	8	2	AT2G17630,AT2G29500,AT5G08540,AT3G08920,AT1G76760,AT1G12250,AT2G44990,AT5G01500	23,24
1.0	197	6	11	AT1G23740,AT1G10170,AT1G15820,AT3G22690,AT3G57680,AT1G06690	23,24,25,26,27,28,29,30,31,32,33
1.0	198	6	4	AT5G42765,AT4G31560,AT4G01050,AT1G31180,AT3G26580,AT1G67280	23,24,25,26
1.0	199	5	2	AT1G72640,AT4G04020,AT5G02160,AT5G15250,AT1G14590	23,24
1.0	200	5	2	AT2G17630,AT3G08920,AT2G30950,AT2G29500,AT2G44990	23,24
1.0	201	6	6	AT5G42765,AT1G74710,AT1G31180,AT3G26580,AT1G17850,AT1G67280	23,24,25,26,27,28
1.0	202	6	2	AT4G35770,AT4G39960,AT5G42070,AT3G26580,AT5G23890,AT1G17850	23,24
1.0	203	6	12	AT5G52970,AT2G24020,AT4G35770,AT3G57680,AT5G23890,AT1G06690	23,24,25,26,27,28,29,30,31,32,33,34
1.0	204	5	8	AT3G26580,AT1G74710,AT5G42765,AT1G31180,AT1G67280	23,24,25,26,27,28,29,30
1.0	205	6	20	AT2G42220,AT2G42975,AT4G13010,AT1G50250,AT5G21430,AT3G24590	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1.0	206	5	2	AT5G16150,AT1G22020,AT1G50460,AT1G54500,AT4G38380	23,24
1.0	207	7	2	AT1G66670,AT4G04020,AT2G40100,AT1G18730,AT5G52780,AT1G72640,AT1G14590	23,24
1.0	208	5	15	AT5G23890,AT2G40760,AT4G35770,AT1G55370,AT1G06690	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1.0	209	5	12	AT4G20820,AT1G29920,AT1G30510,AT2G37230,AT1G79230	23,24,25,26,27,28,29,30,31,32,33,34
0.95	210	5	10	AT4G24930,AT3G26080,AT1G15140,AT2G21160,AT1G79450	23,24,25,26,27,28,29,30,31,32
0.95	211	15	25	AT2G42220,AT2G42975,AT4G13010,AT2G24020,AT1G15820,AT1G07510,AT1G50250,AT5G52970,AT3G57680,AT5G12470,AT4G20820,AT5G21430,AT5G23890,AT2G43010,AT3G24590	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	212	14	25	AT2G42220,AT2G42975,AT4G13010,AT1G07510,AT1G15820,AT3G58010,AT1G50250,AT4G38380,AT5G16150,AT5G16660,AT5G12470,AT5G21430,AT2G43010,AT3G24590	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	213	12	25	AT1G74710,AT1G55370,AT1G10170,AT3G55330,AT4G35770,AT3G22690,AT2G40760,AT3G10130,AT3G57680,AT1G67280,AT2G27290,AT1G06690	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	214	5	25	AT5G16150,AT5G19500,AT1G50460,AT3G46780,AT4G38380	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	215	13	25	AT2G42220,AT5G19500,AT2G42975,AT4G13010,AT1G50250,AT3G58010,AT4G38380,AT5G16150,AT5G16660,AT5G12470,AT5G21430,AT2G43010,AT3G24590	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	216	11	25	AT2G42220,AT2G42975,AT4G13010,AT4G20820,AT1G50250,AT4G38380,AT5G16660,AT5G12470,AT5G21430,AT2G43010,AT3G24590	23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
