threshold	term	GeneSize	WindowSize	key	value
1.0	183	6	6	AT2G17630,AT4G18370,AT4G04020,AT2G40100,AT1G14150,AT2G26800	48,49,50,51,52,53
1.0	184	10	6	AT5G39830,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT3G10470,AT1G42960,AT5G15250,AT1G67280,AT2G27290	48,49,50,51,52,53
1.0	185	13	6	AT1G29920,AT2G20270,AT5G52970,AT4G20820,AT5G13120,AT1G15820,AT4G13670,AT3G22690,AT2G40760,AT3G57680,AT2G43010,AT5G12470,AT1G06690	48,49,50,51,52,53
1.0	186	8	6	AT2G30950,AT3G55330,AT4G35770,AT5G13120,AT1G42960,AT5G15250,AT1G67280,AT2G27290	48,49,50,51,52,53
1.0	187	5	6	AT3G26580,AT2G26800,AT4G31560,AT4G18370,AT1G14150	48,49,50,51,52,53
1.0	188	5	4	AT3G15360,AT1G20810,AT3G15840,AT2G37400,AT1G65260	48,49,50,51
1.0	189	10	6	AT5G39830,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT3G10470,AT5G03455,AT1G67280,AT2G27290,AT5G15250	48,49,50,51,52,53
1.0	190	13	6	AT1G29920,AT2G20270,AT4G20820,AT5G13120,AT1G15820,AT4G13670,AT3G22690,AT2G40760,AT3G57680,AT1G06690,AT2G43010,AT5G12470,AT1G17850	48,49,50,51,52,53
1.0	191	6	5	AT3G46780,AT4G16155,AT1G75690,AT1G22020,AT2G22360,AT5G21430	48,49,50,51,52
1.0	192	8	6	AT2G30950,AT3G55330,AT5G13120,AT4G39460,AT1G67280,AT2G27290,AT5G03455,AT5G15250	48,49,50,51,52,53
1.0	193	10	6	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT1G66670,AT3G47060,AT1G54050,AT4G39460,AT5G03455,AT5G15250	48,49,50,51,52,53
1.0	194	8	6	AT5G20140,AT4G31560,AT1G66670,AT4G39460,AT1G54050,AT1G18730,AT1G72640,AT5G03455	48,49,50,51,52,53
1.0	195	8	6	AT2G30950,AT5G20140,AT3G55330,AT4G35770,AT1G42960,AT5G15250,AT1G67280,AT2G27290	48,49,50,51,52,53
1.0	196	5	6	AT3G26580,AT2G26800,AT4G04020,AT4G18370,AT1G14150	48,49,50,51,52,53
1.0	197	6	6	AT2G35040,AT4G13010,AT3G28850,AT1G52220,AT1G51350,AT5G19500	48,49,50,51,52,53
1.0	198	8	6	AT1G15140,AT4G13010,AT2G24020,AT4G38380,AT1G51110,AT5G16150,AT5G19500,AT5G16660	48,49,50,51,52,53
1.0	199	16	6	AT4G13670,AT1G15140,AT1G55370,AT2G20270,AT5G52970,AT3G58010,AT3G60370,AT1G15820,AT3G22690,AT2G40760,AT5G16660,AT3G57680,AT3G15110,AT2G43010,AT5G12470,AT1G06690	48,49,50,51,52,53
1.0	200	9	6	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT1G66670,AT3G47060,AT4G18370,AT1G54050,AT2G26800	48,49,50,51,52,53
1.0	201	7	6	AT2G17630,AT2G40100,AT4G04020,AT5G19370,AT1G12250,AT5G42070,AT1G80030	48,49,50,51,52,53
1.0	202	7	4	AT2G21160,AT3G53560,AT1G05385,AT1G03850,AT2G01140,AT2G37230,AT1G54790	48,49,50,51
1.0	203	7	3	AT1G20810,AT2G37400,AT1G16790,AT1G54500,AT1G78915,AT3G15840,AT1G65260	48,49,50
1.0	204	6	3	AT1G21750,AT1G50450,AT1G74880,AT1G03090,AT1G67840,AT2G21530	48,49,50
1.0	205	15	6	AT1G74710,AT2G20270,AT1G52220,AT3G58010,AT3G60370,AT1G07510,AT1G15820,AT4G38380,AT2G35040,AT5G52970,AT5G16150,AT5G19500,AT1G15140,AT3G15110,AT5G16660	48,49,50,51,52,53
1.0	206	7	6	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT3G47060,AT1G42960,AT5G15250	48,49,50,51,52,53
1.0	207	9	6	AT3G46780,AT4G16155,AT4G13010,AT3G28850,AT1G75690,AT1G51350,AT5G59250,AT5G21430,AT1G50460	48,49,50,51,52,53
1.0	208	9	6	AT1G29920,AT4G35770,AT5G13120,AT4G13670,AT2G40760,AT3G57680,AT2G43010,AT5G12470,AT1G17850	48,49,50,51,52,53
0.95	209	34	6	AT4G13670,AT1G07510,AT4G20820,AT1G42960,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G16660,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT5G15250,AT1G15820,AT1G18730,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT5G13120,AT5G52970,AT5G16150,AT5G03455,AT3G57680,AT3G15110	48,49,50,51,52,53
0.95	210	6	2	AT1G03160,AT3G08920,AT1G80380,AT5G42270,AT1G14345,AT1G16880	48,49
0.95	211	7	5	AT1G21750,AT2G37400,AT1G50450,AT1G74880,AT1G03090,AT1G67840,AT2G21530	48,49,50,51,52
0.95	212	8	6	AT2G29500,AT2G37660,AT1G67700,AT1G12250,AT1G02560,AT1G80030,AT5G01500,AT2G44990	48,49,50,51,52,53
0.95	213	19	6	AT2G17630,AT5G39830,AT3G10470,AT5G20140,AT5G15250,AT4G31560,AT1G66670,AT3G47060,AT1G42960,AT1G54050,AT1G14150,AT2G40100,AT4G39460,AT1G54580,AT4G18370,AT3G26580,AT4G04020,AT5G03455,AT2G26800	48,49,50,51,52,53
0.95	214	19	6	AT5G15250,AT3G10470,AT5G20140,AT4G04020,AT4G39460,AT4G31560,AT1G66670,AT3G47060,AT1G42960,AT1G54050,AT1G14150,AT1G18730,AT1G54580,AT4G18370,AT3G26580,AT1G72640,AT5G39830,AT5G03455,AT2G26800	48,49,50,51,52,53
0.95	215	10	6	AT2G17630,AT2G40100,AT2G37660,AT5G19370,AT1G12250,AT4G04020,AT5G42070,AT1G80030,AT1G14150,AT5G01500	48,49,50,51,52,53
0.95	216	8	6	AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT1G02560,AT1G14345,AT5G01500,AT2G44990	48,49,50,51,52,53
0.95	217	7	6	AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT1G02560,AT1G14345,AT5G42270	48,49,50,51,52,53
0.95	218	32	6	AT4G13670,AT1G07510,AT4G20820,AT5G19500,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT1G15820,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT2G24020,AT5G13120,AT5G16150,AT5G16660,AT3G57680,AT3G15110	48,49,50,51,52,53
0.95	219	9	6	AT5G19370,AT2G37660,AT1G67700,AT1G12250,AT5G42070,AT1G02560,AT1G80030,AT5G01500,AT2G44990	48,49,50,51,52,53
0.95	220	30	6	AT3G10470,AT5G13120,AT4G31560,AT4G20820,AT1G42960,AT2G43010,AT5G39830,AT1G66670,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT5G15250,AT1G18730,AT1G67280,AT3G26580,AT4G13670,AT5G12470,AT1G06690,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT4G35770,AT5G03455,AT3G57680	48,49,50,51,52,53
0.95	221	22	6	AT3G10470,AT4G31560,AT1G42960,AT1G14150,AT1G54580,AT5G39830,AT1G66670,AT1G54050,AT4G39460,AT2G27290,AT1G72640,AT4G18370,AT1G18730,AT1G67280,AT3G26580,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT5G15250,AT5G03455,AT2G26800	48,49,50,51,52,53
0.95	222	12	6	AT2G17630,AT2G40100,AT2G37660,AT4G18370,AT1G14150,AT5G19370,AT1G12250,AT5G42070,AT3G26580,AT1G80030,AT4G04020,AT2G26800	48,49,50,51,52,53
0.95	223	9	6	AT2G17630,AT5G19370,AT2G40100,AT2G37660,AT1G67700,AT1G12250,AT5G42070,AT1G80030,AT5G01500	48,49,50,51,52,53
0.95	224	5	3	AT3G15840,AT1G20810,AT3G25480,AT1G54500,AT3G15360	48,49,50
