threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	8	AT1G67840,AT4G19830,AT1G74880,AT1G50450,AT2G21530	34,35,36,37,38,39,40,41
1.0	184	5	10	AT4G01050,AT4G39960,AT5G13120,AT1G31180,AT1G54050	34,35,36,37,38,39,40,41,42,43
1.0	185	5	4	AT4G20820,AT3G57680,AT4G24930,AT1G23740,AT1G79230	34,35,36,37
1.0	186	6	2	AT2G35040,AT5G53170,AT4G16155,AT3G28850,AT1G51350,AT5G59250	34,35
1.0	187	5	12	AT5G39830,AT5G03455,AT1G54580,AT4G31560,AT1G14590	34,35,36,37,38,39,40,41,42,43,44,45
1.0	188	5	20	AT1G75690,AT1G51350,AT5G59250,AT4G16155,AT3G28850	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	189	5	10	AT4G35770,AT2G40760,AT3G22690,AT3G55330,AT1G06690	34,35,36,37,38,39,40,41,42,43
1.0	190	5	10	AT2G27290,AT3G10130,AT1G10170,AT4G24750,AT1G67280	34,35,36,37,38,39,40,41,42,43
1.0	191	5	15	AT5G52970,AT2G24020,AT1G15820,AT5G12470,AT1G07510	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.0	192	5	11	AT4G37925,AT2G40100,AT2G26800,AT3G01440,AT1G14150	34,35,36,37,38,39,40,41,42,43,44
1.0	193	5	3	AT3G08920,AT2G29500,AT2G30695,AT1G02560,AT2G44990	34,35,36
1.0	194	5	8	AT3G47060,AT4G04020,AT3G01440,AT4G23890,AT2G26800	34,35,36,37,38,39,40,41
1.0	195	5	3	AT5G20140,AT5G15250,AT1G27510,AT4G18370,AT5G02160	34,35,36
1.0	196	6	16	AT1G15140,AT2G42975,AT2G24020,AT1G15820,AT1G50250,AT3G24590	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.0	197	5	16	AT4G35770,AT3G10130,AT3G22690,AT4G24750,AT1G06690	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.0	198	7	8	AT1G74710,AT1G55370,AT3G55330,AT4G35770,AT3G22690,AT2G40760,AT1G06690	34,35,36,37,38,39,40,41
1.0	199	5	2	AT1G75690,AT1G51350,AT5G53170,AT4G16155,AT1G22450	34,35
0.95	200	6	20	AT5G39830,AT3G10470,AT5G13120,AT1G54050,AT1G18730,AT5G03455	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	201	6	20	AT5G20140,AT3G47060,AT4G18370,AT4G04020,AT5G15250,AT2G26800	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	202	7	20	AT2G37660,AT5G19370,AT1G12250,AT2G44990,AT1G80030,AT5G01500,AT1G02560	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	203	7	20	AT2G17630,AT2G37660,AT1G14150,AT5G19370,AT1G12250,AT1G80030,AT5G01500	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	204	19	20	AT4G13670,AT1G15140,AT1G55370,AT4G13010,AT2G20270,AT1G07510,AT3G58010,AT3G60370,AT2G24020,AT1G15820,AT4G38380,AT5G52970,AT5G16150,AT1G74710,AT3G57680,AT4G20820,AT5G16660,AT2G43010,AT5G12470	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	205	9	20	AT3G55330,AT4G35770,AT1G06690,AT1G54050,AT3G22690,AT1G67280,AT2G27290,AT1G72640,AT1G17850	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	206	9	20	AT5G39830,AT2G30950,AT5G20140,AT4G31560,AT3G10470,AT4G18370,AT5G03455,AT1G54580,AT5G15250	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	207	17	20	AT1G15140,AT4G13010,AT2G20270,AT2G24020,AT1G07510,AT3G58010,AT3G60370,AT1G52220,AT1G15820,AT4G38380,AT5G52970,AT5G16150,AT5G19500,AT2G35040,AT5G16660,AT2G43010,AT5G12470	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	208	5	12	AT1G67840,AT4G19830,AT1G74880,AT1G50450,AT2G21530	34,35,36,37,38,39,40,41,42,43,44,45
0.95	209	7	20	AT5G13120,AT1G54050,AT3G22690,AT1G67280,AT2G27290,AT1G72640,AT1G17850	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
