threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	10	AT4G35770,AT4G24750,AT4G39460,AT3G55330,AT1G06690	38,39,40,41,42,43,44,45,46,47
1.0	184	5	3	AT1G21750,AT4G38100,AT2G37400,AT2G01140,AT1G65260	38,39,40
1.0	185	7	4	AT1G29920,AT1G74710,AT1G23740,AT4G20820,AT3G22690,AT2G40760,AT4G24930	38,39,40,41
1.0	186	6	6	AT3G55330,AT4G35770,AT4G24750,AT2G40760,AT1G67280,AT3G22690	38,39,40,41,42,43
1.0	187	5	11	AT5G52970,AT2G24020,AT1G15820,AT5G12470,AT1G07510	38,39,40,41,42,43,44,45,46,47,48
1.0	188	5	4	AT1G67840,AT4G19830,AT1G74880,AT1G50450,AT2G21530	38,39,40,41
1.0	189	5	15	AT5G16660,AT1G15140,AT1G50250,AT4G38380,AT2G24020	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1.0	190	5	16	AT3G57680,AT1G74710,AT1G15820,AT2G43010,AT4G20820	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	191	6	7	AT5G13120,AT1G54050,AT4G01050,AT1G67280,AT3G26580,AT2G27290	38,39,40,41,42,43,44
1.0	192	5	4	AT3G10470,AT1G72640,AT4G39960,AT3G15110,AT1G66670	38,39,40,41
1.0	193	5	7	AT5G13120,AT2G27290,AT1G72640,AT1G31180,AT1G66670	38,39,40,41,42,43,44
1.0	194	5	16	AT5G16150,AT5G19500,AT5G16660,AT4G38380,AT4G13010	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	195	5	12	AT4G35770,AT3G10130,AT3G22690,AT4G24750,AT1G06690	38,39,40,41,42,43,44,45,46,47,48,49
1.0	196	5	10	AT2G17630,AT1G80030,AT1G12250,AT5G19370,AT2G37660	38,39,40,41,42,43,44,45,46,47
1.0	197	5	16	AT5G20140,AT5G03455,AT5G39830,AT5G15250,AT1G66670	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	198	5	2	AT4G16155,AT1G22020,AT5G53170,AT1G51350,AT1G22450	38,39
1.0	199	7	16	AT2G20270,AT1G07510,AT5G52970,AT1G15820,AT3G57680,AT2G43010,AT5G12470	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	200	5	16	AT1G75690,AT1G51350,AT5G59250,AT4G16155,AT3G28850	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	201	6	16	AT1G74710,AT1G55370,AT2G20270,AT2G40760,AT3G57680,AT2G43010	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	202	6	5	AT1G15140,AT1G23740,AT4G13010,AT1G50250,AT1G15820,AT4G38380	38,39,40,41,42
1.0	203	5	3	AT4G39960,AT2G01918,AT3G10470,AT1G31180,AT5G02160	38,39,40
1.0	204	5	7	AT4G37925,AT2G26800,AT4G04020,AT3G01440,AT1G14150	38,39,40,41,42,43,44
1.0	205	5	8	AT2G27290,AT3G26580,AT1G72640,AT1G54050,AT1G66670	38,39,40,41,42,43,44,45
1.0	206	6	2	AT3G28850,AT4G27700,AT1G22020,AT1G51350,AT3G25480,AT3G15840	38,39
1.0	207	7	6	AT2G42975,AT2G24020,AT1G07510,AT3G58010,AT5G16660,AT3G24590,AT5G12470	38,39,40,41,42,43
1.0	208	5	4	AT1G29920,AT1G74710,AT2G40760,AT3G55330,AT3G22690	38,39,40,41
1.0	209	7	4	AT1G29920,AT3G10130,AT3G22690,AT2G40760,AT1G74710,AT3G57680,AT1G06690	38,39,40,41
1.0	210	5	10	AT5G13120,AT2G27290,AT4G24750,AT1G42960,AT1G17850	38,39,40,41,42,43,44,45,46,47
1.0	211	5	16	AT5G20140,AT2G30950,AT5G03455,AT5G39830,AT5G15250	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	212	13	16	AT3G55330,AT4G35770,AT1G06690,AT5G13120,AT1G42960,AT1G54050,AT3G22690,AT4G39460,AT1G67280,AT3G15110,AT2G27290,AT1G72640,AT1G17850	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	213	12	16	AT2G35040,AT4G13010,AT2G24020,AT1G07510,AT1G52220,AT4G38380,AT5G16150,AT5G19500,AT1G15140,AT5G21430,AT5G16660,AT1G50460	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	214	11	16	AT3G46780,AT4G13010,AT5G16660,AT3G58010,AT4G38380,AT5G19500,AT5G16150,AT1G51350,AT2G35040,AT5G21430,AT1G50460	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	215	19	16	AT1G29920,AT1G74710,AT1G55370,AT3G55330,AT2G20270,AT1G07510,AT4G20820,AT4G35770,AT1G15820,AT1G42960,AT3G22690,AT2G40760,AT4G39460,AT3G57680,AT1G67280,AT4G13670,AT2G43010,AT5G12470,AT1G06690	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	216	9	16	AT5G59250,AT3G46780,AT4G16155,AT3G28850,AT1G75690,AT1G22020,AT1G51350,AT5G19500,AT1G50460	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.95	217	5	8	AT1G67840,AT4G19830,AT1G74880,AT1G50450,AT2G21530	38,39,40,41,42,43,44,45
0.95	218	10	16	AT5G39830,AT2G30950,AT5G20140,AT4G31560,AT3G47060,AT3G10470,AT4G18370,AT5G15250,AT1G54580,AT2G26800	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
