threshold	term	GeneSize	WindowSize	key	value
1.0	183	6	5	AT2G21160,AT3G53560,AT1G05385,AT1G54790,AT2G01140,AT1G03850	47,48,49,50,51
1.0	184	5	6	AT2G17630,AT1G80030,AT1G12250,AT2G40100,AT4G37925	47,48,49,50,51,52
1.0	185	13	7	AT1G74710,AT2G20270,AT1G52220,AT3G58010,AT1G07510,AT1G15820,AT4G38380,AT2G35040,AT5G52970,AT5G16150,AT5G19500,AT1G15140,AT5G16660	47,48,49,50,51,52,53
1.0	186	5	7	AT2G17630,AT1G80030,AT1G12250,AT5G42070,AT5G19370	47,48,49,50,51,52,53
1.0	187	10	7	AT1G29920,AT4G20820,AT5G13120,AT4G13670,AT3G22690,AT2G40760,AT3G57680,AT2G43010,AT5G12470,AT1G06690	47,48,49,50,51,52,53
1.0	188	10	7	AT1G29920,AT4G20820,AT5G13120,AT4G13670,AT3G22690,AT2G40760,AT3G57680,AT1G06690,AT5G12470,AT1G17850	47,48,49,50,51,52,53
1.0	189	9	7	AT3G46780,AT4G16155,AT4G13010,AT3G28850,AT1G75690,AT1G51350,AT5G59250,AT5G21430,AT1G50460	47,48,49,50,51,52,53
1.0	190	7	7	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT3G47060,AT4G18370,AT2G26800	47,48,49,50,51,52,53
1.0	191	16	7	AT4G13670,AT1G15140,AT1G55370,AT2G20270,AT5G52970,AT3G58010,AT3G60370,AT1G15820,AT3G22690,AT2G40760,AT5G16660,AT3G57680,AT3G15110,AT2G43010,AT5G12470,AT1G06690	47,48,49,50,51,52,53
1.0	192	5	7	AT1G72640,AT1G18730,AT5G03455,AT1G54050,AT1G66670	47,48,49,50,51,52,53
1.0	193	10	7	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT1G66670,AT3G47060,AT1G54050,AT4G39460,AT5G03455,AT5G15250	47,48,49,50,51,52,53
1.0	194	5	6	AT2G17630,AT1G80030,AT1G12250,AT5G19370,AT4G37925	47,48,49,50,51,52
1.0	195	7	4	AT1G20810,AT2G37400,AT1G16790,AT1G54500,AT1G78915,AT3G15840,AT1G65260	47,48,49,50
1.0	196	10	7	AT5G39830,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT3G10470,AT5G03455,AT1G67280,AT2G27290,AT5G15250	47,48,49,50,51,52,53
1.0	197	7	7	AT1G29920,AT3G55330,AT4G35770,AT5G13120,AT2G30950,AT1G67280,AT2G27290	47,48,49,50,51,52,53
0.95	198	34	7	AT4G13670,AT1G07510,AT4G20820,AT1G42960,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G16660,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT5G15250,AT1G15820,AT1G18730,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT5G13120,AT5G52970,AT5G16150,AT5G03455,AT3G57680,AT3G15110	47,48,49,50,51,52,53
0.95	199	10	7	AT2G17630,AT2G40100,AT2G37660,AT5G19370,AT1G12250,AT4G04020,AT5G42070,AT1G80030,AT1G14150,AT5G01500	47,48,49,50,51,52,53
0.95	200	6	7	AT2G21160,AT3G53560,AT1G03850,AT1G05385,AT2G37230,AT1G54790	47,48,49,50,51,52,53
0.95	201	7	6	AT1G21750,AT2G37400,AT1G50450,AT1G74880,AT1G03090,AT1G67840,AT2G21530	47,48,49,50,51,52
0.95	202	22	7	AT3G10470,AT4G31560,AT1G42960,AT1G14150,AT1G54580,AT5G39830,AT1G66670,AT1G54050,AT4G39460,AT2G27290,AT1G72640,AT4G18370,AT1G18730,AT1G67280,AT3G26580,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT5G15250,AT5G03455,AT2G26800	47,48,49,50,51,52,53
0.95	203	12	7	AT5G39830,AT3G10470,AT5G20140,AT4G31560,AT3G47060,AT4G18370,AT4G04020,AT5G19370,AT5G42070,AT3G26580,AT1G14150,AT2G26800	47,48,49,50,51,52,53
0.95	204	9	7	AT2G17630,AT5G19370,AT2G40100,AT2G37660,AT1G67700,AT1G12250,AT5G42070,AT1G80030,AT5G01500	47,48,49,50,51,52,53
0.95	205	9	7	AT2G37660,AT4G18370,AT4G04020,AT5G19370,AT1G12250,AT5G42070,AT1G80030,AT1G14150,AT2G26800	47,48,49,50,51,52,53
0.95	206	5	7	AT3G15360,AT1G20810,AT3G15840,AT2G37400,AT1G21750	47,48,49,50,51,52,53
0.95	207	29	7	AT3G10470,AT5G13120,AT4G31560,AT4G20820,AT1G42960,AT2G43010,AT5G39830,AT1G66670,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT2G27290,AT1G72640,AT1G17850,AT1G29920,AT5G15250,AT1G18730,AT1G67280,AT4G13670,AT5G12470,AT1G06690,AT2G30950,AT5G20140,AT3G55330,AT3G47060,AT4G35770,AT5G03455,AT3G57680	47,48,49,50,51,52,53
0.95	208	10	7	AT2G17630,AT2G40100,AT2G37660,AT1G14150,AT5G19370,AT1G12250,AT5G42070,AT1G80030,AT4G04020,AT2G26800	47,48,49,50,51,52,53
0.95	209	8	7	AT2G29500,AT2G20260,AT1G03160,AT1G67700,AT1G02560,AT1G14345,AT5G01500,AT2G44990	47,48,49,50,51,52,53
0.95	210	33	7	AT4G13670,AT5G13120,AT1G07510,AT4G20820,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT1G15820,AT1G18730,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT2G24020,AT1G52220,AT5G16150,AT5G16660,AT3G57680,AT3G15110	47,48,49,50,51,52,53
0.95	211	31	7	AT4G13670,AT5G13120,AT1G07510,AT4G20820,AT4G38380,AT5G19500,AT2G43010,AT1G74710,AT2G20270,AT3G60370,AT5G52970,AT3G58010,AT1G51350,AT3G22690,AT2G40760,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT5G12470,AT1G06690,AT1G15140,AT1G55370,AT2G24020,AT1G52220,AT1G51110,AT5G16150,AT5G16660,AT3G57680,AT3G15110	47,48,49,50,51,52,53
0.95	212	8	7	AT2G29500,AT2G37660,AT1G67700,AT1G12250,AT1G02560,AT1G80030,AT5G01500,AT2G44990	47,48,49,50,51,52,53
0.95	213	32	7	AT4G13670,AT1G07510,AT4G20820,AT5G19500,AT2G43010,AT1G74710,AT2G20270,AT4G35770,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT3G22690,AT2G40760,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT1G15820,AT1G67280,AT5G12470,AT1G06690,AT2G30950,AT1G15140,AT1G55370,AT3G55330,AT2G24020,AT5G13120,AT5G16150,AT5G16660,AT3G57680,AT3G15110	47,48,49,50,51,52,53
0.9	214	5	5	AT3G08920,AT1G80380,AT1G16880,AT4G33010,AT2G18790	47,48,49,50,51
0.9	215	6	7	AT1G20810,AT2G37400,AT5G35170,AT3G25480,AT3G15840,AT3G15360	47,48,49,50,51,52,53
0.9	216	5	4	AT5G19370,AT1G80030,AT1G12250,AT5G42070,AT5G08540	47,48,49,50
0.9	217	5	7	AT2G21160,AT2G40400,AT1G05385,AT2G37230,AT1G79450	47,48,49,50,51,52,53
0.9	218	15	7	AT2G17630,AT5G19370,AT2G29500,AT2G20260,AT1G03160,AT2G37660,AT1G67700,AT2G40100,AT1G12250,AT5G42070,AT1G02560,AT1G14345,AT1G80030,AT5G01500,AT2G44990	47,48,49,50,51,52,53
