88001	1	1	0.0111111111111	0.0943396226415	1	0	1	1
11823	1	0.982292337411	0.0111111111111	0	1	0	0	1
87603	1	0.907276239536	0.0222222222222	0.0754716981132	0	0	0	1
69153	1	0.785254346426	0.0111111111111	0	1	1	1	0
106653	1	0.764971023825	0.0222222222222	0	1	1	1	0
3813	1	0.746297488731	0.0111111111111	0.0188679245283	1	0	0	1
93116	1	0.736316806182	0.0333333333333	0	1	1	1	0
3796	1	0.709272376046	0.0333333333333	0	1	0	1	0
5583	1	0.703477141017	0.0222222222222	0	1	0	0	1
106652	1	0.703477141017	0.0222222222222	0	1	1	1	0
