threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	5	AT2G42220,AT4G39460,AT3G58010,AT4G38380,AT5G16660	17,18,19,20,21
1.0	184	7	8	AT5G39830,AT5G20140,AT4G18370,AT4G04020,AT2G40100,AT5G15250,AT1G72640	17,18,19,20,21,22,23,24
1.0	185	5	5	AT2G42220,AT5G19500,AT4G39460,AT3G58010,AT4G38380	17,18,19,20,21
1.0	186	5	2	AT1G80380,AT2G30695,AT5G42270,AT1G03160,AT1G14345	17,18
1.0	187	5	25	AT2G40760,AT4G35770,AT3G57680,AT3G55330,AT1G06690	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1.0	188	5	2	AT5G21430,AT3G60370,AT4G13670,AT2G22360,AT1G52220	17,18
1.0	189	5	6	AT5G16150,AT5G19500,AT4G39460,AT3G58010,AT4G38380	17,18,19,20,21,22
1.0	190	5	32	AT2G42975,AT1G50250,AT5G12470,AT3G24590,AT1G07510	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.0	191	5	24	AT2G42220,AT5G16660,AT2G42975,AT5G12470,AT4G13010	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.0	192	6	8	AT3G01440,AT3G15110,AT5G35170,AT4G23890,AT2G41330,AT2G26800	17,18,19,20,21,22,23,24
1.0	193	5	4	AT3G26580,AT1G66670,AT5G42765,AT1G67280,AT1G14590	17,18,19,20
1.0	194	5	3	AT3G15840,AT1G75690,AT1G51350,AT3G28850,AT1G22450	17,18,19
0.95	195	7	31	AT4G16155,AT3G28850,AT1G75690,AT1G22020,AT1G51350,AT5G59250,AT1G22450	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	196	8	2	AT2G30695,AT1G03160,AT3G08920,AT2G37660,AT1G67700,AT1G80380,AT5G42270,AT1G14345	17,18
0.95	197	5	2	AT4G38100,AT1G67840,AT1G74880,AT1G50450,AT2G21530	17,18
0.95	198	10	31	AT2G42220,AT2G42975,AT4G13010,AT1G07510,AT1G50250,AT3G58010,AT4G38380,AT5G16660,AT2G43010,AT5G12470	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	199	6	14	AT1G66670,AT1G54050,AT4G01050,AT3G26580,AT1G14590,AT4G01900	17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.95	200	5	31	AT1G66670,AT3G10470,AT1G17850,AT2G27290,AT1G14590	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	201	5	8	AT5G42270,AT1G80380,AT4G33010,AT2G29180,AT1G14345	17,18,19,20,21,22,23,24
0.95	202	13	31	AT1G29920,AT4G13010,AT2G24020,AT1G15820,AT1G07510,AT1G50250,AT5G52970,AT4G24930,AT3G57680,AT5G12470,AT4G20820,AT2G43010,AT3G24590	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	203	5	6	AT3G10130,AT2G40760,AT1G52220,AT3G10470,AT1G17850	17,18,19,20,21,22
0.95	204	6	31	AT5G19500,AT1G22020,AT3G58010,AT4G38380,AT5G16150,AT1G50460	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.95	205	5	26	AT3G47060,AT2G26800,AT4G37925,AT4G23890,AT1G14150	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0.95	206	5	25	AT2G27290,AT3G26580,AT1G74710,AT1G55370,AT1G17850	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.95	207	6	31	AT3G10130,AT3G55330,AT4G35770,AT1G67280,AT3G26580,AT1G06690	17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
