threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	3	AT4G24930,AT5G53490,AT4G01900,AT1G54790,AT1G79450	1,2,3
1.0	184	6	2	AT5G02160,AT3G53560,AT4G24750,AT1G78915,AT5G62720,AT2G40400	1,2
1.0	185	11	2	AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT2G42975,AT1G03850,AT4G01900	1,2
1.0	186	11	2	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT5G35170,AT1G03090,AT3G25480,AT2G21530,AT5G08050,AT3G15840,AT3G15360	1,2
1.0	187	11	2	AT2G26340,AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT4G39730,AT4G39960,AT5G53490,AT1G65260,AT2G42975,AT1G03850	1,2
1.0	188	5	7	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	1,2,3,4,5,6,7
1.0	189	8	14	AT3G55330,AT1G52220,AT1G07510,AT2G40760,AT5G42070,AT3G57680,AT4G35770,AT1G17850	1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0	190	6	17	AT4G35770,AT4G20820,AT3G22690,AT2G40760,AT5G42070,AT3G57680	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1.0	191	5	2	AT5G21430,AT1G22020,AT5G52440,AT3G21055,AT5G08540	1,2
1.0	192	6	2	AT5G02160,AT3G53560,AT1G78915,AT1G31180,AT5G62720,AT2G40400	1,2
0.95	193	5	2	AT1G32500,AT3G14420,AT5G53170,AT1G16880,AT4G33010	1,2
0.95	194	5	2	AT3G14420,AT2G18790,AT1G16880,AT4G33010,AT5G53170	1,2
0.95	195	5	8	AT2G42975,AT4G39960,AT1G76760,AT2G37230,AT2G40400	1,2,3,4,5,6,7,8
0.95	196	7	2	AT3G10130,AT4G01050,AT1G80380,AT4G24930,AT1G05385,AT3G24590,AT1G14590	1,2
0.95	197	7	3	AT2G26340,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT4G01900	1,2,3
0.95	198	5	2	AT5G52780,AT4G37925,AT2G01918,AT1G74880,AT3G01440	1,2
0.95	199	5	3	AT2G26550,AT1G79040,AT1G44575,AT3G56040,AT1G71500	1,2,3
0.95	200	8	3	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	1,2,3
0.95	201	15	16	AT4G13670,AT3G55330,AT1G79230,AT4G20820,AT3G60370,AT1G07510,AT1G15820,AT3G22690,AT5G52970,AT2G40760,AT5G42070,AT3G57680,AT5G21430,AT4G35770,AT5G12470	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.95	202	5	3	AT3G08920,AT5G53170,AT4G33010,AT3G14420,AT2G29180	1,2,3
0.95	203	5	2	AT4G01050,AT1G80380,AT1G14590,AT1G05385,AT1G10170	1,2
0.9	204	5	5	AT3G14420,AT3G08920,AT5G53170,AT1G03160,AT2G29180	1,2,3,4,5
0.9	205	5	13	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	1,2,3,4,5,6,7,8,9,10,11,12,13
0.9	206	10	3	AT2G26340,AT1G23740,AT5G02160,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G24930,AT4G01900	1,2,3
0.9	207	8	3	AT1G23740,AT1G79450,AT5G53490,AT1G54790,AT4G24930,AT1G14590,AT1G05385,AT4G01900	1,2,3
0.9	208	8	2	AT3G10130,AT1G10170,AT4G01050,AT1G80380,AT4G24930,AT1G05385,AT3G24590,AT1G14590	1,2
0.9	209	19	16	AT4G13670,AT3G55330,AT1G66670,AT1G07510,AT4G20820,AT3G60370,AT1G52220,AT1G15820,AT1G79230,AT5G52970,AT2G40760,AT5G42070,AT3G57680,AT1G67280,AT3G26580,AT5G21430,AT4G35770,AT3G22690,AT1G17850	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
