Phi2,Gene,68,69,70,71,72,73,74,75,76,77,78,79,80,81
,AT1G03160,-0.149835367,-0.203335466,-0.15226502,-0.226670886,-0.150934283,-0.230670303,-0.149711078,-0.234588502,-0.139130659,-0.191435455,-0.150062594,-0.22024995,-0.148829148,-0.195425993
,AT1G14345,-0.105625455,-0.174359608,-0.105873346,-0.205768054,-0.120525806,-0.28215594,-0.093060075,-0.149825789,-0.119486435,-0.151960108,-0.1010434,-0.23913942,-0.106686264,-0.161276493
,AT1G80380,-0.068625701,-0.131999721,-0.085768543,-0.147593965,-0.096707757,-0.151020618,-0.095195795,-0.160192699,-0.101487567,-0.180283675,-0.105322633,-0.164789866,-0.098563811,-0.150457733
,AT2G18790,-0.243551264,-0.339028686,-0.262998402,-0.341892143,-0.252491417,-0.287546598,-0.264921667,-0.333601207,-0.261318618,-0.305006259,-0.255882494,-0.319102299,-0.258673085,-0.306718947
,AT2G29180,-0.257549902,-0.235051385,-0.271585768,-0.230945336,-0.271863729,-0.230055439,-0.273978059,-0.230804128,-0.285627549,,-0.293313321,-0.217977952,-0.308511621,-0.257732532
,AT4G33010,-0.17067275,-0.177396643,-0.168925876,-0.189971278,-0.173401304,-0.179644574,-0.176423262,-0.176348872,-0.184639542,-0.182565658,-0.190831283,-0.190205301,-0.198844541,-0.185532523
,AT5G42270,-0.108788482,-0.110995372,-0.26824949,-0.166939187,-0.390866637,-0.205145328,-0.100756696,-0.204733932,-0.163413878,-0.211136162,-0.206922059,-0.237382237,-0.224392085,-0.195898092
QESV,Gene,68,69,70,71,72,73,74,75,76,77,78,79,80,81
,AT1G03160,0.09888617,-0.08108126,0.079985075,-0.089947816,0.090025124,-0.079584502,0.081363835,-0.075328133,0.085113413,-0.093712356,0.094079022,-0.087631612,0.107768863,-0.085851857
,AT1G14345,0.177165099,-0.029949987,0.145072897,-0.038238821,0.157384682,-0.035901472,0.138161626,-0.037059772,0.151773712,-0.04529447,0.146213673,-0.036671638,0.166196568,-0.032974679
,AT1G80380,0.332575556,0.041506695,0.321513572,0.029487311,0.33902483,0.031891693,0.320252585,0.033468537,0.338769165,0.0278109,0.348044347,0.028392099,0.36303502,0.030336021
,AT2G18790,0.231207034,0.666147773,0.211266462,-0.19968315,0.205372027,-0.206943816,0.184447799,-0.209151134,0.196291538,-0.213483155,0.183221213,-0.212057618,0.2077237,-0.204240866
,AT2G29180,0.158176719,-0.026591605,0.141971621,-0.040190092,0.138054157,-0.036953047,0.128986302,-0.044723098,0.116621767,,0.115745454,-0.051132986,0.116599486,-0.039979212
,AT4G33010,0.396284405,0.001902319,0.366005715,-0.003719408,0.371398349,-0.003874735,0.358021759,-0.012179056,0.352747091,-0.023371047,0.358615108,-0.023566147,0.378522631,-0.012621788
,AT5G42270,0.270844946,-0.002712507,0.276049871,-0.012328505,0.288787417,0.070184944,0.319697905,-0.006488905,0.346445862,-0.018406056,0.358225427,0.07336268,0.374826421,0.028563332
QI,Gene,68,69,70,71,72,73,74,75,76,77,78,79,80,81
,AT1G03160,0.094876742,0.193876213,0.117519226,0.19776644,0.112976297,0.198017665,0.130726446,0.204145378,0.137578748,0.204577537,0.144220133,0.211257163,0.144220458,0.21500947
,AT1G14345,0.166806127,0.208986619,0.187877354,0.226367115,0.187654067,0.224948859,0.193160287,0.212110438,0.204398195,0.229536681,0.205943133,0.231321515,0.194322528,0.246532118
,AT1G80380,0.128853632,0.274039127,0.131416601,0.259052779,0.120523833,0.240281603,0.128590193,0.242224023,0.121541747,0.221642688,0.125922252,0.234166379,0.112076158,0.2368093
,AT2G18790,0.131832608,0.158960752,0.13952648,0.15204442,0.148315515,0.169229944,0.14858854,0.168978342,0.153674862,0.166915173,0.158213129,0.166128706,0.153241545,0.175696526
,AT2G29180,0.201536628,0.297413821,0.217796734,0.284636416,0.204985359,0.282519403,0.201141831,0.279185952,0.194476752,0.266633037,0.18758847,0.267892216,0.179088553,0.26093369
,AT4G33010,0.164267662,0.353540659,0.190949268,0.33948344,0.149872503,0.322676572,0.16105063,0.314763455,0.161404882,0.330194193,0.178301386,0.34780929,0.178719675,0.359607401
,AT5G42270,0.124354689,0.222291786,0.173287227,0.251362489,0.212073467,0.271763459,0.237994493,0.323634474,0.278349294,0.365302274,0.309486916,0.375007295,0.358033787,0.420316221
