threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	23	AT5G16660,AT1G15140,AT4G38380,AT4G13010,AT2G24020	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	184	5	23	AT5G52970,AT2G24020,AT1G15820,AT2G20270,AT1G07510	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	185	5	14	AT1G67840,AT4G19830,AT1G74880,AT1G50450,AT2G21530	31,32,33,34,35,36,37,38,39,40,41,42,43,44
1.0	186	5	5	AT5G52780,AT2G30950,AT5G15250,AT2G41330,AT3G01440	31,32,33,34,35
1.0	187	5	23	AT5G16150,AT5G19500,AT5G16660,AT4G38380,AT4G13010	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	188	5	15	AT5G39830,AT5G03455,AT1G54580,AT4G31560,AT1G14590	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1.0	189	6	4	AT2G01918,AT5G02160,AT2G30950,AT5G15250,AT5G52780,AT2G41330	31,32,33,34
1.0	190	6	4	AT2G01918,AT5G02160,AT2G30950,AT4G04020,AT5G15250,AT5G52780	31,32,33,34
1.0	191	5	4	AT1G20810,AT1G15140,AT1G30510,AT2G37230,AT3G53560	31,32,33,34
1.0	192	5	23	AT5G52970,AT2G24020,AT1G15140,AT1G15820,AT1G07510	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	193	5	19	AT1G29920,AT4G35770,AT2G40760,AT3G55330,AT1G06690	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.0	194	5	6	AT3G47060,AT5G62720,AT4G37925,AT4G23890,AT1G14150	31,32,33,34,35,36
1.0	195	5	10	AT2G27290,AT1G66670,AT1G67280,AT4G01050,AT1G17850	31,32,33,34,35,36,37,38,39,40
1.0	196	5	23	AT1G75690,AT1G51350,AT5G59250,AT4G16155,AT3G28850	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1.0	197	5	6	AT4G39960,AT5G13120,AT1G54580,AT4G31560,AT1G54050	31,32,33,34,35,36
1.0	198	5	5	AT5G52780,AT2G30950,AT2G41330,AT2G40100,AT3G01440	31,32,33,34,35
1.0	199	5	11	AT1G72640,AT1G66670,AT2G27290,AT1G67280,AT1G17850	31,32,33,34,35,36,37,38,39,40,41
