threshold	term	GeneSize	WindowSize	key	value
0.7	216	5	8	AT4G24930,AT4G24750,AT5G02160,AT1G05385,AT1G30510	0,1,2,3,4,5,6,7
0.7	217	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.7	218	6	3	AT1G10170,AT4G27700,AT4G01050,AT1G80380,AT3G24590,AT1G14590	0,1,2
0.7	219	45	17	AT3G10470,AT5G53170,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G12250,AT5G42070,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT5G59250,AT5G21430,AT2G27290,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT2G22360,AT5G03455,AT1G67280,AT1G80030,AT5G12470,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT3G57680,AT4G35770	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.65	220	7	12	AT2G21160,AT5G62720,AT1G74070,AT1G27510,AT1G78915,AT4G38100,AT1G65260	0,1,2,3,4,5,6,7,8,9,10,11
0.65	221	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.65	222	52	17	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G12250,AT5G19500,AT5G42070,AT5G39830,AT1G74710,AT4G16155,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT4G38380,AT1G54050,AT3G22690,AT2G40760,AT4G39460,AT5G59250,AT5G12470,AT5G21430,AT2G27290,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G22020,AT1G15820,AT2G22360,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT1G55370,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT3G57680,AT4G35770	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.65	223	5	15	AT4G24930,AT5G53490,AT1G79450,AT1G30510,AT1G14590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.6	224	5	3	AT3G46610,AT5G07020,AT2G26550,AT1G65230,AT1G22450	0,1,2
0.6	225	5	15	AT4G24930,AT5G53490,AT1G79450,AT4G01900,AT1G14590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.6	226	62	17	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT2G22360,AT5G19370,AT1G18730,AT1G67280,AT2G27290,AT5G01500,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.6	227	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.6	228	5	17	AT5G21430,AT1G22020,AT5G52440,AT2G22360,AT1G22450	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.6	229	5	4	AT2G26550,AT5G07020,AT1G65230,AT1G54780,AT1G22450	0,1,2,3
0.6	230	5	6	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	0,1,2,3,4,5
