11823	['824770', '817196', '844245', '843491', '841033', '842830']	6	[5]	[5]
162143	['843110', '827727', '843827', '816692', '829966', '838779', '842833', '814643']	8	[35]	[35]
23051	['843110', '841467', '843827', '838362', '816692', '829966', '844230', '842833', '816651', '839642']	10	[8]	[8]
188553	['841920', '816651', '818300', '831910', '837040', '839930', '844283', '824524', '836393', '843747', '830699', '839642', '830128', '814643', '829966', '840006', '839392', '818633']	18	[49]	[49]
162146	['838779', '827727', '818316', '842833', '814643', '829966']	6	[35]	[35]
184462	['838779', '844230', '842833', '838250', '838672', '818316', '843747', '814643', '841920', '830128', '837040', '829966']	12	[44]	[44]
185740	['814643', '824524', '843747', '830128', '841920', '829966', '820827', '837040', '839392', '822132', '839930']	11	[45]	[45]
184464	['838779', '844230', '842833', '839392', '838672', '818316', '843747', '814643', '841920', '830128', '837040', '829966']	12	[44]	[44]
258	['841467', '842833', '844230', '816651', '836393']	5	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]
222	['844283', '817174', '824524', '828577', '831910', '835431']	6	[0, 1, 2, 3]	[0, 1, 2, 3]
62937	['824524', '822205', '818316', '816651', '838779', '838250', '827727', '841892']	8	[15]	[14, 15, 16, 17]
74402	['824524', '838779', '838250', '822205', '818316', '816651', '827727']	7	[17]	[13, 14, 15, 16, 17]
