term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
1911	1.0	1	AT2G20270,AT5G23890,AT1G74710,AT1G15820,AT2G43010,AT3G24590,AT5G52970,AT1G07510	95	104	8	10
1918	1.0	2	AT1G07510,AT1G15820,AT1G74710,AT2G20270,AT3G24590,AT5G23890,AT5G52970	95	105	7	11
1975	1.0	1	AT2G24020,AT2G42975,AT1G50250,AT3G24590,AT4G13010,AT3G28850,AT1G51110	98	107	7	10
198	0.9915	3	AT1G06690,AT1G42960,AT1G50460,AT2G24020,AT2G40100,AT2G43010,AT2G44990,AT3G47060,AT4G18370	49	61	9	13
1170	0.9896	4	AT1G54500,AT3G58010,AT4G38380,AT5G16150,AT5G16660,AT5G19500	76	91	6	16
1257	0.9889	4	AT1G15820,AT1G42960,AT2G20270,AT3G15360,AT5G23890,AT5G52970	78	92	6	15
1002	0.9886	2	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT2G37230,AT2G43010,AT3G24590,AT4G20820	73	83	8	11
1375	0.9882	4	AT1G15140,AT2G42220,AT2G42975,AT4G13010,AT5G21430	81	97	5	17
1441	0.9875	5	AT1G15140,AT2G42220,AT2G42975,AT4G13010,AT5G16660	83	98	5	16
1518	0.9872	2	AT1G22450,AT1G75690,AT3G25480,AT3G28850,AT4G27700,AT5G59250	85	97	6	13
1239	0.9861	2	AT1G15140,AT1G20810,AT1G50460,AT1G54500,AT2G22360,AT2G35040,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G16660,AT5G19500	78	89	12	12
438	0.9857	1	AT5G16150,AT5G19500,AT1G51110,AT1G22020,AT1G51350,AT1G56500,AT1G75690	56	65	7	10
667	0.9833	3	AT1G50250,AT2G42975,AT3G15360,AT4G13010,AT5G16660	62	73	5	12
794	0.9833	1	AT2G42975,AT4G13010,AT5G12470,AT1G50250,AT2G43010,AT5G16660	66	75	6	10
1963	0.9833	1	AT2G35040,AT1G52220,AT5G19500,AT3G24590,AT1G50250,AT4G13010	97	106	6	10
853	0.9778	1	AT2G21160,AT1G15140,AT1G79450,AT4G28025,AT1G74070,AT5G53490,AT1G20810,AT1G51110,AT3G46780	68	77	9	10
303	0.975	1	AT2G01140,AT2G43010,AT3G47060,AT2G40100,AT2G24020,AT1G50460,AT1G42960,AT2G44990,AT4G18370,AT4G31560,AT3G26080,AT1G06690	52	61	12	10
829	0.975	1	AT3G15840,AT3G28850,AT1G51350,AT1G75690,AT4G16155,AT1G22450,AT3G46780,AT4G27700	67	76	8	10
809	0.9688	3	AT1G15140,AT1G20810,AT1G51110,AT1G74070,AT1G79450,AT2G21160,AT4G28025,AT5G53490	66	77	8	12
1358	0.9679	3	AT1G07510,AT1G15140,AT1G50250,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G13670,AT4G39460,AT5G12470,AT5G21430	81	92	13	12
1112	0.965	3	AT1G07510,AT1G50250,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G13670,AT5G12470,AT5G21430	75	87	11	13
1102	0.9643	2	AT1G54500,AT3G53560,AT4G38380,AT4G39460,AT5G16150,AT5G16660,AT5G53490	75	86	7	12
736	0.9636	2	AT1G50460,AT1G51350,AT1G75690,AT3G25480,AT3G28850	64	74	5	11
1127	0.963	4	AT1G07510,AT1G50250,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT4G13670,AT5G12470,AT5G21430	75	92	9	18
1401	0.9615	3	AT1G07510,AT1G15820,AT1G30510,AT1G50250,AT1G79230,AT2G24020,AT2G43010,AT3G24590,AT3G60370,AT4G13670,AT5G12470,AT5G52970	82	94	12	13
833	0.961	2	AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT4G27700	67	77	7	11
803	0.9587	2	AT1G15140,AT1G20810,AT1G51110,AT1G74070,AT1G79450,AT2G21160,AT2G37400,AT3G26080,AT3G53560,AT4G28025,AT5G53490	66	76	11	11
929	0.9571	1	AT2G37230,AT1G30510,AT1G29920,AT4G20820,AT1G15820,AT4G24930,AT1G79230	71	80	7	10
864	0.9545	2	AT1G15140,AT1G20810,AT1G74070,AT3G46780,AT4G28025,AT5G53490	68	78	6	11
892	0.9545	1	AT1G22020,AT1G51350,AT3G15840,AT3G28850,AT4G27700,AT5G59250	69	79	6	11
