term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
2106	0.9746	10	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G38380	62	104	11	43
4001	0.9718	11	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G50250,AT2G20270,AT2G24020,AT2G42975,AT2G43010,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500	75	105	16	31
253	0.9714	6	AT1G50250,AT2G42975,AT3G60370,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G19500,AT5G52970,AT5G53170	49	69	10	21
735	0.9714	10	AT1G42960,AT2G22360,AT3G15360,AT3G55330,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970	54	88	9	35
2087	0.9713	6	AT1G42960,AT2G22360,AT3G15360,AT4G13670,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970	62	92	9	31
5824	0.9692	3	AT2G30695,AT3G15360,AT3G15840,AT3G25480,AT5G35170	95	107	5	13
2721	0.9669	2	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G60370,AT4G16155,AT4G27700,AT5G53170,AT5G59250	67	77	11	11
2835	0.9615	10	AT1G06690,AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT3G57680,AT3G58010,AT4G13010,AT4G38380	67	104	13	38
3316	0.9611	3	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT4G27700,AT5G53170,AT5G59250	71	88	10	18
1520	0.9583	4	AT1G07510,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	59	76	20	18
710	0.9571	8	AT1G07510,AT1G10170,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	54	74	20	21
4269	0.957	10	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G55370,AT2G20270,AT2G24020,AT2G43010,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500	77	107	15	31
2584	0.9565	3	AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G50460,AT1G54500,AT1G79230,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT3G25480,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730,AT5G16150,AT5G19500	66	77	23	12
2107	0.9545	11	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G58010,AT4G13010,AT4G38380	62	105	10	44
2573	0.9545	2	AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G54500,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G25480,AT3G55330,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	66	76	34	11
2669	0.9534	6	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G54500,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G38380	66	88	14	23
4700	0.9529	3	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G28850,AT4G16155,AT4G27700,AT5G53170,AT5G59250	81	97	10	17
3920	0.9529	7	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G20810,AT1G29920,AT1G50250,AT1G50460,AT2G20270,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G25480,AT3G46780,AT3G53560,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500,AT5G23890	75	91	25	17
3231	0.9519	10	AT1G06690,AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G20270,AT2G24020,AT2G42975,AT2G43010,AT3G57680,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G19500	70	105	15	36
527	0.9511	11	AT1G07510,AT1G15820,AT1G29920,AT2G22360,AT3G15360,AT3G24590,AT3G55330,AT5G16660,AT5G21430	52	76	9	25
1680	0.9499	4	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	60	76	27	17
204	0.9487	3	AT1G15140,AT1G16790,AT3G15840,AT3G25480,AT3G46780,AT5G16150	49	61	6	13
744	0.9487	11	AT1G42960,AT2G22360,AT3G15360,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970	54	92	8	39
2080	0.9483	9	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G38380	62	90	12	29
3443	0.9465	2	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G28850,AT4G16155,AT4G27700,AT5G53170,AT5G59250	72	88	11	17
2075	0.9428	5	AT1G42960,AT2G22360,AT2G42220,AT3G15360,AT3G55330,AT4G13670,AT4G39460,AT5G12470,AT5G16660,AT5G21430,AT5G52970	62	88	11	27
1532	0.9426	5	AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G42975,AT3G24590,AT4G13010,AT4G38380,AT4G39730,AT5G16150,AT5G19500	59	77	11	19
2836	0.9423	11	AT1G06690,AT1G07510,AT1G15820,AT1G29920,AT1G50250,AT2G24020,AT2G42975,AT2G43010,AT3G57680,AT3G58010,AT4G13010,AT4G38380	67	105	12	39
3240	0.9421	1	AT3G21055,AT1G51350,AT4G16155,AT1G22450,AT5G53170,AT5G59250,AT1G75690,AT2G26340,AT5G08050,AT1G22020,AT3G46780,AT5G52440,AT3G28850,AT5G01220,AT3G15840,AT4G27700,AT1G54780,AT1G51110,AT3G25480	71	80	19	10
1690	0.9414	5	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT1G79230,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730,AT5G16150,AT5G19500	60	77	18	18
2997	0.9405	4	AT1G22020,AT3G15840,AT3G25480,AT3G28850,AT4G27700,AT5G59250	69	82	6	14
