,term_id,sign_score,level,annotation_gene,start_time,end_time,geneSize,time_size
66,188902,0.0584,1,"839433,839566,837778,837996,843095,816545,817499,819107,831861,834232,835398",98,111,11,14
67,165267,0.0583,1,"816270,818343,831861,832057,816545,844010,837778,844343,838362,817499,817620,819107,820041,838259,830754,839433",85,94,16,10
68,188065,0.0576,1,"820827,820775,838672,843747,841892,829966,818316,838250,844230,842833,830128",97,106,11,10
69,177444,0.0556,1,"816270,832057,837778,818343,844343,831861,819107,817620,820041,839433,816545,843095,817499,838259,830754",89,98,15,10
70,87318,0.0556,1,"838807,841468,820827,822132,822517,824970,828884,836043",68,79,8,12
71,124396,0.0556,1,"820827,835398,841892,838807,831528,824970,830101,836043,822517",74,83,9,10
72,129622,0.0556,1,"839433,838362,839566,837996,839642,843095,817499,817620,818343,819107,820041,833471",75,85,12,11
73,69320,0.0545,1,"838807,838851,841558,842103,843903,820827,822132,822517,827307,836043",65,75,10,11
74,175435,0.0531,1,"839433,837778,838259,843095,844343,816270,816545,817499,817620,818343,819107,820041,831861,832057",88,100,14,13
75,129693,0.053,1,"838807,841468,841534,841558,820827,822132,822517,823831,827307,832070,835398,836043",75,85,12,11
76,183173,0.0523,1,"839433,839566,837778,838259,843095,816270,816545,817499,819107,820041,831861",92,102,11,11
77,155610,0.0521,1,"838807,841468,841558,841892,818069,820827,822132,822517,823831,824970,827307,829995,831472,832070,835398,836043",82,93,16,12
78,165268,0.0519,1,"816270,818343,831861,832057,816545,844010,837778,844343,837974,3770591,818731,830754,817499,820041,838259,817620,819107,839433",85,94,18,10
79,141017,0.0519,1,"817499,818343,819107,833471,843095,838362,817620,839566,837996",78,87,9,10
80,165266,0.0511,1,"816270,818343,831861,832057,816545,844010,843095,817499,817620,830754,820041,838362,838259,839433,819107",85,94,15,10
81,23051,0.05,1,"843110,841467,843827,838362,816692,829966,844230,842833,816651,839642",57,66,10,10
82,158904,0.05,1,"816270,844343,832057,844010,817499,817620,816545,819107,820041,818343,839433,831861",83,92,12,10
83,168643,0.05,1,"828884,832070,823831,818069,835398,827307,822517,841652,843903,838807,824970,836043,829995,816768,831472,820827,841558,822132,841468,838851",86,95,20,10
84,86693,0.0492,1,"838807,841558,843903,820827,822132,822517,828884,836043",68,78,8,11
85,165272,0.0491,1,"816270,818343,831861,832057,816545,844010,837778,844343,837974,3770591,818731,817221,818599,838259,820041,817499,817620,819107,839433",85,94,19,10
86,74409,0.0489,1,"837996,816270,837974,837778,839433,817499,839566,834232,3770591,844343,817620,818343,843095,832057,816545,820041,831151,819107,844010,818731,833471,838362,821143,820741,835355,817221,838455,828489,831861,844378",66,75,30,10
87,33570,0.048,1,"839566,837974,838455,843095,816545,817499,817620,820741,828884,3770591,833471",59,70,11,12
88,5582,0.0476,1,"843903,823831,821143,821657,816768,841919,830593",52,61,7,10
89,74393,0.0474,1,"828884,835398,818822,824970,829995,830101,832070,831472,820827,827307,836043,822517,843903,838807,841558,842103,822132,841468,838851",66,75,19,10
90,172135,0.0473,1,"838807,838851,841558,843903,816768,818069,818822,820827,823831,824970,827307,831528,832070,832247,835398,836043",87,97,16,11
91,33331,0.0471,1,"843110,838672,838779,816651,818316,841467,824524,843747,843827,841892,844230,838362,842833,841900,814643,816692,829966",59,68,17,10
92,28158,0.0462,1,"828884,843095,817499,817620,816545,839566,818343,837974,838455,820741,3770591,821143,837996",58,67,13,10
93,28160,0.0462,1,"828884,843095,817499,817620,816545,839566,818343,837974,838455,820741,818731,821143,837996",58,67,13,10
94,69144,0.0455,1,"828884,831528,818899,826914,831122,835398,842103,818822,830101,829995,838851",65,74,11,10
95,69171,0.0452,1,"839566,837996,844378,834232,817620,818343,843095,820041,816270,3768499,833979,817499,816545,819107,831151,844010,839433,837974,832057,835355,838362,838455,821143,820741,828489,3770591,833471,844343,818731,831861,817221",65,74,31,10
