term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
21653	0.08974	4	AT1G03090,AT1G50450,AT1G54500,AT1G65260,AT1G67840,AT1G74880,AT2G21530,AT4G38100	57	69	8	13
131253	0.08889	1	AT2G29500,AT3G08920,AT1G03090,AT2G30695,AT1G67700,AT1G03160	82	91	6	10
37057	0.08542	4	AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT5G42270	60	75	10	16
114908	0.08425	10	AT1G50460,AT1G51350,AT2G35040,AT3G28850,AT3G46780,AT4G16155,AT5G53170	76	101	7	26
4793	0.08425	3	AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G29180,AT3G01440,AT3G14420	52	64	7	13
134285	0.08333	1	AT1G03160,AT2G30695,AT1G02560,AT1G67700,AT2G29500,AT1G03090,AT2G44990,AT1G16880	83	92	8	10
113891	0.08187	5	AT1G22020,AT1G22450,AT1G51350,AT1G54500,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	76	94	12	19
25965	0.0812	1	AT1G14345,AT1G67700,AT3G01440,AT3G08920,AT4G27700,AT4G37925	58	70	6	13
114909	0.0812	10	AT1G50460,AT2G22360,AT2G35040,AT3G46780,AT4G16155,AT5G53170	76	101	6	26
41794	0.08081	4	AT1G02560,AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT5G42270	61	75	11	15
103749	0.08059	2	AT1G22020,AT1G51350,AT3G15840,AT3G28850,AT4G16155,AT5G53170,AT5G59250	73	98	7	26
131585	0.08059	2	AT1G54500,AT3G25480,AT1G22450,AT5G59250,AT1G75690,AT1G51350,AT4G27700,AT5G53170,AT2G35040,AT4G16155,AT1G22020,AT3G28850,AT3G15840,AT3G46780	82	94	14	13
4760	0.07792	2	AT1G03160,AT1G14345,AT1G18730,AT1G67700,AT1G72640,AT1G74710,AT2G20260,AT2G29180,AT3G01440,AT3G08920,AT3G14420,AT3G15110,AT4G27700,AT5G52440	52	62	14	11
17492	0.07778	1	AT1G54780,AT5G08540,AT3G25480,AT3G46780,AT3G21055,AT5G01220	56	65	6	10
7817	0.07716	2	AT1G03160,AT1G14345,AT1G67700,AT1G80380,AT2G20260,AT2G29180,AT3G01440,AT3G14420,AT4G37925	53	64	9	12
7777	0.07708	1	AT2G29180,AT3G14420,AT1G74710,AT2G20260,AT1G03160,AT3G08920,AT4G27700,AT1G67700,AT1G18730,AT1G80380,AT3G01440,AT4G37925,AT1G72640,AT5G52440,AT3G15110,AT1G14345	53	62	16	10
137282	0.07677	2	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G54500,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	84	94	15	11
32732	0.07619	5	AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G08920	59	79	5	21
141356	0.07619	4	AT1G02560,AT1G16880,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920	85	104	7	20
141789	0.07576	5	AT2G20260,AT3G08920,AT1G02560,AT1G67700,AT2G29500,AT1G16880,AT2G44990	85	106	7	22
108019	0.0754	4	AT3G28850,AT1G50460,AT3G46780,AT1G51350,AT5G53170,AT4G16155	74	101	6	28
120575	0.07504	5	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT4G16155,AT4G27700,AT5G53170,AT5G59250	78	98	11	21
140151	0.075	2	AT1G02560,AT1G16880,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G01500	85	96	10	12
141518	0.07483	4	AT1G02560,AT1G16880,AT1G67700,AT2G20260,AT2G29500,AT2G44990,AT3G08920	85	105	7	21
143333	0.0744	3	AT1G50460,AT1G52220,AT2G22360,AT2G35040,AT3G46780,AT4G16155,AT5G53170	86	101	7	16
13798	0.07436	1	AT3G14420,AT3G08920,AT2G20260,AT1G03160,AT1G67700,AT1G80380,AT1G18730,AT3G01440,AT4G37925,AT1G72640,AT2G29180,AT3G15110,AT1G14345	55	64	13	10
151478	0.07326	2	AT1G03090,AT1G50450,AT1G54500,AT1G67840,AT1G74880,AT2G21530,AT4G19830	90	102	7	13
143334	0.07292	4	AT1G50460,AT1G51350,AT1G52220,AT2G35040,AT3G28850,AT3G46780,AT4G16155,AT5G53170	86	101	8	16
30082	0.07273	1	AT1G67840,AT2G21160,AT1G50450,AT1G74880,AT1G54500,AT1G78915,AT1G65260,AT1G03090,AT2G01140,AT2G21530,AT4G38100	59	68	11	10
141038	0.07202	3	AT2G17630,AT2G20260,AT3G08920,AT2G30695,AT1G02560,AT1G67700,AT2G29500,AT1G16880,AT2G44990	85	102	9	18
145566	0.07176	2	AT1G02560,AT1G16880,AT1G67700,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G44990,AT3G08920	87	102	9	16
159423	0.07143	2	AT1G03090,AT1G16790,AT1G21750,AT1G54500,AT1G65260,AT1G78915	95	108	6	14
145392	0.07143	4	AT1G50460,AT1G52220,AT2G22360,AT2G35040,AT3G46780,AT4G16155,AT5G35170,AT5G53170	87	100	8	14
32031	0.07108	3	AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G30695,AT3G01440,AT3G08920,AT3G15110	59	75	8	17
101378	0.07083	1	AT1G02560,AT1G67700,AT2G30695,AT5G19370,AT1G80030,AT1G03090,AT2G37660,AT5G01500	73	82	8	10
114450	0.07005	4	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	76	98	12	23
105230	0.07	1	AT2G29500,AT2G30695,AT3G08920,AT2G29180,AT1G27510,AT1G67700,AT5G35170,AT4G37925,AT1G03090,AT1G14345	74	83	10	10
87261	0.07	1	AT1G03160,AT1G67700,AT1G03090,AT2G29500,AT2G30695,AT5G19370,AT3G08920,AT2G37660,AT1G02560,AT5G01500	70	79	10	10
134238	0.0697	1	AT2G17630,AT5G01500,AT2G20260,AT3G08920,AT1G03090,AT2G29500,AT1G02560,AT1G16880,AT2G30695,AT2G37660,AT2G44990	83	92	11	10
145542	0.06914	5	AT1G50460,AT1G51350,AT1G52220,AT2G22360,AT2G35040,AT3G28850,AT3G46780,AT4G16155,AT5G53170	87	101	9	15
18102	0.06746	3	AT1G03090,AT1G50450,AT1G65260,AT1G67840,AT2G21530,AT4G38100	56	69	6	14
145848	0.06713	3	AT1G02560,AT1G16880,AT1G67700,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920	87	104	8	18
21469	0.06667	3	AT1G03090,AT1G50450,AT1G54500,AT1G65260,AT1G67840,AT1G74880,AT1G78915,AT2G21160,AT2G21530,AT4G38100	57	68	10	12
87276	0.06667	1	AT1G17850,AT4G13670,AT2G35040,AT3G10470,AT3G60370,AT1G52220	70	79	6	10
37058	0.06667	5	AT1G02560,AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G30695,AT2G37660,AT3G01440,AT3G15110,AT5G42270	60	75	10	16
71133	0.06624	3	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT4G16155,AT4G27700,AT5G19500,AT5G59250	67	79	12	13
113897	0.06579	7	AT1G22020,AT1G50460,AT1G51350,AT1G54500,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	76	94	12	19
114716	0.06533	9	AT3G46780,AT5G59250,AT3G28850,AT1G50460,AT3G15840,AT1G51350,AT5G53170,AT2G35040,AT4G16155,AT1G22020	76	100	10	25
97675	0.06481	2	AT3G25480,AT1G22450,AT5G59250,AT1G75690,AT1G50460,AT1G51350,AT4G27700,AT4G16155,AT1G22020,AT3G28850,AT3G15840,AT3G46780	72	83	12	12
64971	0.06481	4	AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT5G59250	65	100	7	36
107814	0.06481	3	AT5G59250,AT3G28850,AT1G50460,AT3G46780,AT1G51350,AT5G53170,AT4G16155,AT3G15840	74	100	8	27
128326	0.06481	2	AT1G02560,AT1G03090,AT2G29500,AT2G30695,AT2G44990,AT3G08920	81	92	6	12
37787	0.06429	7	AT2G20260,AT3G08920,AT2G30695,AT2G37660,AT1G67700,AT2G29500,AT2G44990	60	79	7	20
61827	0.0642	3	AT3G58010,AT1G22450,AT5G59250,AT3G28850,AT1G75690,AT3G15840,AT1G51350,AT4G16155,AT1G22020	65	79	9	15
132198	0.06373	3	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	82	98	12	17
137894	0.06349	3	AT3G25480,AT1G22450,AT5G59250,AT1G75690,AT1G50460,AT1G51350,AT4G27700,AT5G53170,AT2G35040,AT4G16155,AT1G22020,AT3G28850,AT3G15840,AT3G46780	84	98	14	15
107812	0.06349	6	AT5G59250,AT1G50460,AT3G15840,AT3G46780,AT5G53170,AT2G35040,AT1G22020	74	100	7	27
107804	0.06349	6	AT1G50460,AT2G35040,AT3G15840,AT3G46780,AT5G16150,AT5G19500,AT5G53170	74	100	7	27
160887	0.06333	1	AT3G15840,AT2G37400,AT4G19830,AT1G20810,AT1G54500,AT4G39730,AT1G74070,AT3G15360,AT1G78915,AT1G16790	97	106	10	10
114668	0.0625	9	AT1G50460,AT2G22360,AT2G35040,AT3G46780,AT4G16155,AT5G16150,AT5G19500,AT5G53170	76	99	8	24
142872	0.06227	1	AT1G22020,AT1G22450,AT1G51350,AT1G52220,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	86	98	14	13
158798	0.0619	1	AT1G20810,AT2G37400,AT1G16790,AT1G78915,AT1G74070,AT4G38100,AT4G39730	95	104	7	10
137228	0.06167	1	AT4G27700,AT5G59250,AT5G19500,AT2G35040,AT3G46780,AT5G53170,AT4G16155,AT3G28850,AT1G75690,AT3G58010,AT1G22020,AT1G54500,AT4G38380,AT2G22360,AT5G16150,AT3G15840,AT1G51350,AT3G25480,AT1G50460,AT1G22450	84	93	20	10
152879	0.06154	1	AT5G01500,AT1G03160,AT2G29500,AT2G30695,AT5G08540,AT2G20260,AT3G08920,AT1G67700,AT1G80030,AT1G12250,AT1G16880,AT1G02560,AT2G44990	91	100	13	10
97286	0.06154	1	AT3G25480,AT5G19500,AT1G22450,AT5G59250,AT1G75690,AT1G50460,AT1G51350,AT4G27700,AT4G16155,AT1G22020,AT3G28850,AT3G15840,AT3G46780	72	81	13	10
106891	0.06122	5	AT1G22020,AT1G50460,AT1G54500,AT2G35040,AT3G25480,AT3G46780,AT5G53170	74	94	7	21
71137	0.06114	3	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT3G15840,AT3G25480,AT3G28850,AT3G58010,AT4G16155,AT4G27700,AT5G16150,AT5G19500,AT5G59250	67	79	13	13
131583	0.06114	4	AT1G22020,AT1G50460,AT1G51350,AT1G54500,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	82	94	13	13
139983	0.06111	1	AT2G17630,AT1G12250,AT2G37660,AT1G80030,AT5G19370,AT5G01500,AT2G20260,AT1G76760,AT3G08920,AT5G08540,AT2G29500,AT2G30695,AT1G03160,AT1G67700,AT1G03090,AT1G16880,AT1G02560,AT2G44990	85	94	18	10
156653	0.06085	2	AT1G03160,AT2G20260,AT3G08920,AT1G02560,AT1G67700,AT2G29500,AT1G16880,AT1G14345,AT2G44990	93	106	9	14
114671	0.06061	8	AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G28850,AT3G46780,AT4G16155,AT5G16150,AT5G19500,AT5G53170,AT5G59250	76	99	11	24
21259	0.06061	2	AT1G03090,AT1G27510,AT1G50450,AT1G54500,AT1G65260,AT1G67840,AT1G74880,AT1G78915,AT2G21160,AT2G21530,AT2G37400,AT4G38100	57	67	12	11
131358	0.06061	2	AT1G03090,AT1G03160,AT1G67700,AT2G29500,AT2G30695	82	92	5	11
143149	0.06	3	AT1G50460,AT1G51350,AT1G52220,AT2G35040,AT3G15840,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	86	100	10	15
156348	0.05983	1	AT1G02560,AT1G03160,AT1G14345,AT1G16880,AT1G67700,AT2G20260,AT2G29500,AT2G44990,AT3G08920	93	105	9	13
25463	0.05926	10	AT1G22450,AT1G51350,AT1G75690,AT3G28850,AT4G16155	57	110	5	54
30820	0.05917	2	AT1G03160,AT1G14150,AT1G18730,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT3G15110,AT4G27700,AT4G37925,AT5G35170	59	71	13	13
82320	0.05844	1	AT3G08920,AT5G19370,AT5G01500,AT1G67700,AT1G80030,AT2G29500,AT2G17630,AT2G20260,AT2G30695,AT2G37660,AT2G44990,AT1G02560,AT1G76760,AT1G03090	69	79	14	11
145393	0.05844	4	AT1G50460,AT1G51350,AT1G52220,AT2G22360,AT2G35040,AT3G15840,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	87	100	11	14
37056	0.05804	4	AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G35170,AT5G42270	60	75	14	16
77217	0.05769	2	AT3G08920,AT5G19370,AT5G01500,AT1G80030,AT2G29500,AT2G17630,AT2G20260,AT2G30695,AT2G37660,AT2G44990,AT1G02560,AT1G76760,AT1G03090	68	79	13	12
42547	0.05702	5	AT2G20260,AT3G08920,AT2G30695,AT2G37660,AT1G02560,AT1G67700,AT2G29500,AT2G44990	61	79	8	19
113513	0.05702	4	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G54500,AT2G22360,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT3G58010,AT4G16155,AT4G38380,AT5G16150,AT5G16660,AT5G19500,AT5G53170,AT5G59250	76	91	19	16
32030	0.05637	4	AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G30695,AT2G37660,AT3G01440,AT3G15110	59	75	8	17
72663	0.05637	4	AT3G25480,AT5G59250,AT3G28850,AT1G75690,AT3G15840,AT1G51350,AT4G27700,AT1G22020	67	83	8	17
107775	0.05609	5	AT1G50460,AT2G35040,AT3G15840,AT3G46780,AT5G16150,AT5G19500,AT5G53170,AT5G59250	74	99	8	26
100146	0.05603	3	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT5G59250	72	100	8	29
160879	0.05556	1	AT1G03160,AT2G20260,AT1G14345,AT1G16880,AT2G29500,AT2G37660,AT1G67700,AT1G02560,AT3G08920	97	106	9	10
160848	0.05556	3	AT1G14150,AT1G80030,AT2G26800,AT2G37660,AT4G18370,AT5G53170	96	111	6	16
