Parent	Child
200	185
203	190
261	195
239	196
235	197
261	198
239	199
263	200
239	201
236	202
246	203
235	204
238	205
239	206
239	207
263	208
235	209
235	210
236	211
235	213
246	214
240	215
248	216
239	217
239	218
235	219
235	220
239	221
359	222
236	223
236	224
258	225
270	226
236	227
239	228
236	229
248	230
239	231
246	232
244	233
250	234
275	235
269	236
269	237
278	238
272	239
270	240
273	241
300	242
270	243
269	244
273	245
272	246
275	247
272	248
273	249
273	250
285	251
359	252
272	253
270	254
278	255
272	256
275	258
273	260
278	261
322	262
279	263
433	264
269	265
278	267
270	268
319	269
309	270
297	271
306	272
295	273
298	274
319	275
295	276
309	277
300	278
299	279
309	280
319	281
295	282
305	283
313	285
318	286
297	287
297	288
321	289
299	290
295	291
319	292
300	293
347	294
355	295
326	296
334	297
337	298
331	299
344	300
337	302
334	304
338	305
325	306
334	307
334	308
337	309
328	310
325	311
334	312
339	313
334	314
334	315
334	316
350	317
334	318
350	319
328	322
390	323
388	324
358	325
367	326
362	327
356	328
362	329
351	331
356	332
362	333
351	334
375	335
355	336
351	337
358	338
365	339
362	340
379	342
355	343
359	344
351	345
351	346
364	347
373	348
362	349
387	350
395	351
387	352
387	353
400	354
407	355
400	356
387	357
388	358
388	359
387	360
392	362
387	363
392	364
391	365
400	366
387	367
387	368
473	369
456	370
401	372
395	373
387	374
400	375
392	377
397	378
416	379
388	380
386	381
421	382
414	384
425	386
424	387
423	388
416	390
628	391
430	392
441	393
415	394
430	395
424	397
430	398
415	399
418	400
423	401
430	402
424	403
431	404
423	405
416	406
424	407
423	408
423	409
415	410
430	411
423	412
415	413
433	414
435	415
438	416
499	417
433	418
435	420
439	421
433	422
441	423
441	424
438	425
441	426
435	427
441	428
448	430
466	431
462	432
487	433
459	435
451	436
451	437
497	438
460	439
466	440
448	441
448	442
459	443
450	444
448	445
457	446
486	447
490	448
485	449
487	450
486	451
463	453
469	454
487	455
475	456
482	457
487	458
505	459
492	460
487	461
497	462
506	463
497	464
500	465
535	466
499	467
525	468
505	469
496	470
562	473
491	474
547	475
496	476
492	477
502	478
496	479
494	480
493	481
493	482
493	483
491	484
489	485
493	486
490	487
605	488
512	489
523	490
509	491
510	492
521	493
528	494
515	495
509	496
609	497
521	498
531	499
521	500
509	501
516	502
510	504
521	505
517	506
531	508
528	509
534	510
534	511
537	512
526	513
526	514
546	515
539	516
525	517
554	518
528	519
534	521
531	522
534	523
549	524
550	525
548	526
569	527
544	528
545	530
559	531
548	532
562	533
602	534
571	535
544	536
560	537
545	538
570	539
563	540
554	541
545	543
584	544
589	545
645	546
617	547
584	548
583	549
591	550
591	554
591	555
586	556
572	558
616	559
611	560
572	561
585	562
590	563
588	564
572	565
585	566
586	567
591	568
583	569
625	570
606	571
599	572
625	573
613	574
602	575
611	576
642	577
617	578
603	579
603	580
596	581
642	582
597	583
609	584
603	585
600	586
602	587
606	588
609	589
597	590
609	591
599	592
600	593
599	594
644	595
646	596
626	597
644	598
634	599
631	600
626	601
634	602
629	603
634	604
633	605
632	606
619	607
654	608
634	609
634	610
634	611
634	612
626	613
632	614
634	615
629	616
647	617
642	619
654	620
645	621
645	622
647	623
647	624
644	625
654	626
646	627
653	628
645	629
647	630
644	631
645	632
646	633
654	634
645	635
654	636
654	637
654	638
654	639
654	640
654	641
654	642
654	643
654	644
654	645
654	646
654	647
654	648
654	649
654	650
654	651
654	652
654	653
