0,1
5,503
6,606
7,657
8,697
9,689
10,716
11,753
12,696
13,658
14,624
15,612
16,556
17,570
18,493
19,481
20,459
21,474
22,395
23,367
24,341
25,295
26,282
27,282
28,273
29,241
30,206
31,211
32,221
33,161
34,150
35,148
36,108
37,101
38,91
39,100
40,82
41,62
42,70
43,48
44,51
45,35
46,39
47,42
48,32
49,25
50,23
51,16
52,6
53,7
54,12
55,14
56,14
57,16
58,10
59,9
60,12
61,9
62,10
63,3
64,3
65,3
66,7
67,6
68,3
69,3
70,2
71,3
72,2
73,1
74,2
75,2
76,2
77,3
78,2
79,1
81,2
82,7
83,3
84,6
85,7
86,3
87,5
88,6
89,4
91,3
95,1
