term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
187476	0.1176	['AT4G24930', 'AT4G13670', 'AT2G01918', 'AT3G46780', 'AT1G15140', 'AT5G13120', 'AT2G42975', 'AT5G52970', 'AT1G07510', 'AT4G20820', 'AT1G50250', 'AT1G75690', 'AT4G39960', 'AT5G19500', 'AT2G43010', 'AT2G42220', 'AT4G24750', 'AT1G74710', 'AT3G10130', 'AT4G16155', 'AT2G20270', 'AT1G14590', 'AT3G60370', 'AT3G58010', 'AT4G38380', 'AT2G40760', 'AT3G22690', 'AT1G51350', 'AT5G16660', 'AT5G21430', 'AT1G50460', 'AT1G29920', 'AT2G35040', 'AT1G55370', 'AT4G13010', 'AT1G52220', 'AT3G28850', 'AT2G24020', 'AT5G16150', 'AT1G15820', 'AT2G22360', 'AT1G51110', 'AT5G59250', 'AT3G57680', 'AT3G24590', 'AT3G15110', 'AT5G52780', 'AT5G23890', 'AT5G12470', 'AT1G06690', 'AT4G01050']	[47]	51	1
148786	0.1167	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	[31, 32, 33, 34, 35]	12	5
187475	0.1159	['AT4G23890', 'AT4G13670', 'AT3G46780', 'AT2G42975', 'AT1G07510', 'AT5G52970', 'AT1G75690', 'AT1G50250', 'AT4G20820', 'AT4G38380', 'AT4G39960', 'AT2G35040', 'AT2G43010', 'AT1G06690', 'AT2G42220', 'AT4G24750', 'AT1G74710', 'AT4G16155', 'AT2G20270', 'AT3G60370', 'AT3G58010', 'AT2G40760', 'AT3G22690', 'AT1G51350', 'AT5G59250', 'AT5G21430', 'AT1G50460', 'AT5G23890', 'AT3G24590', 'AT5G19500', 'AT4G13010', 'AT1G55370', 'AT2G24020', 'AT1G52220', 'AT3G28850', 'AT1G22020', 'AT1G15820', 'AT2G22360', 'AT1G51110', 'AT1G15140', 'AT5G16150', 'AT5G16660', 'AT3G57680', 'AT3G15110', 'AT5G12470', 'AT1G22450']	[47]	46	1
40958	0.1157	['AT1G14150', 'AT1G18730', 'AT3G01440', 'AT3G15110', 'AT4G37925', 'AT5G35170']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	6	12
25442	0.1156	['AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G29500', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	7	14
148369	0.1154	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	[31, 32]	13	2
155747	0.1136	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	[33, 34, 35, 36]	11	4
35699	0.1128	['AT1G14150', 'AT1G18730', 'AT3G15110', 'AT4G37925', 'AT5G35170']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	5	13
139172	0.1122	['AT1G14150', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT4G23890', 'AT4G37925', 'AT5G19370']	[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	7	14
48098	0.1121	['AT1G14150', 'AT2G20260', 'AT2G26800', 'AT4G23890', 'AT4G37925']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	5	22
60601	0.1119	['AT1G14150', 'AT2G20260', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	7	20
