gene	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102
829490_843110	0.02	0	0.01	0.03	0.01	0.05	0.12	0.07	0.06	0.07	0.1	0.1	0.12	0.18	0.11	0.15	0.14	0.16	0.14	0.17	0.21	0.19	0.19	0.16	0.17	0.17	0.16	0.18	0.15	0.11	0.15	0.16	0.19	0.11	0.15	0.1	0.09	0.12	0.12	0.11	0.08	0.05	0.06	0.06	0.04	0.07	0.09	0.04	0.07	0.04	0.04	0.06	0.01	0
835320_818599	0.96	0.96	0.98	0.04	0.69	0.79	0.97	0.96	0.92	0.91	0.84	0.72	0.79	0.67	0.7	0.56	0.5	0.49	0.42	0.33	0.38	0.29	0.1	0.32	0.15	0.13	0.15	0.12	0.13	0.12	0.14	0.19	0.21	0.21	0.24	0.25	0.27	0.3	0.31	0.43	0.3	0.41	0.36	0.45	0.55	0.49	0.44	0.55	0.6	0.79	0.8	0.89	0.96	0.89
821143_841033	0.12	0.05	0.01	0.62	0.21	0.11	0.02	0.08	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0	0.01	0.01	0.01	0.01	0.02	0.05	0.05	0.12	0.13
826914_837265	0.99	1	1	1	1	1	0.98	0.99	0.99	0.99	0.96	0.92	0.99	0.95	0.97	0.96	0.96	0.99	0.96	0.96	0.98	0.95	0.95	0.96	0.97	0.96	1	0.99	0.99	1	1	0.96	0.99	1	1	0.99	0.99	0.97	0.97	0.99	1	0.97	0.96	0.94	0.93	0.97	0.99	0.99	0.96	0.95	0.97	0.98	1	1
832070_843110	0.04	0.98	0.97	0	0.09	0.1	0.01	0	0	0	0	0	0.01	0	0.02	0	0	0	0.02	0	0.01	0	0	0.02	0	0.01	0.01	0.02	0	0.04	0.03	0.01	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0	0	0	0	0.01	0	0	0	0.01	0.18
823831_841919	0.94	0.92	0.93	0.94	0.79	0.85	0.87	0.94	0.79	0.85	0.69	0.76	0.6	0.46	0.33	0.34	0.35	0.25	0.32	0.3	0.21	0.24	0.16	0.19	0.06	0.29	0.36	0.31	0.3	0.22	0.35	0.32	0.26	0.33	0.27	0.23	0.31	0.37	0.28	0.26	0.25	0.36	0.37	0.41	0.52	0.5	0.48	0.58	0.69	0.82	0.81	0.66	0.7	0.83
817272_838250	0	0	0	0.99	0.89	0.79	0.72	0.65	0.44	0.38	0.21	0.14	0.24	0.07	0.14	0.1	0.2	0.32	0.47	0.48	0.72	0.59	0.67	0.7	0.66	0.8	0.74	0.83	0.8	0.7	0.55	0.5	0.5	0.36	0.25	0.27	0.2	0.18	0.2	0.3	0.13	0.06	0.01	0.01	0	0.01	0	0	0.01	0	0	0	0	0
838364_844010	0	0	0.01	0.99	1	1	0.98	1	0.97	0.96	0.94	0.93	0.9	0.89	0.88	0.86	0.91	0.9	0.89	0.89	0.9	0.92	0.89	0.83	0.83	0.92	0.88	0.83	0.78	0.8	0.68	0.78	0.8	0.8	0.78	0.79	0.87	0.84	0.84	0.88	0.92	0.89	0.85	0.91	0.94	0.9	0.85	0.96	0.9	0.96	0.87	0.8	0.73	0.07
841447_838984	0.28	0.73	0.51	0.12	0.52	0.64	0.81	0.78	0.93	0.92	0.98	0.95	0.95	0.96	0.96	0.98	0.94	0.97	0.95	0.91	0.96	0.98	0.93	0.95	0.96	0.94	0.97	0.99	0.97	0.98	0.96	0.96	0.97	0.99	0.96	0.95	0.97	0.98	0.96	0.98	0.96	0.97	0.96	0.95	0.93	0.9	0.87	0.79	0.86	0.71	0.71	0.43	0.4	0.18
