Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
112905	0.063	9	10	1	0	0	1
183766	0.063	6	15	1	1	0	1
93113	0.063	9	10	1	1	1	1
129686	0.0628	14	11	0	0	0	1
141736	0.0627	5	17	1	0	1	1
183438	0.0627	9	13	0	1	0	0
141596	0.0625	9	16	0	0	0	0
125416	0.0625	8	16	0	0	0	1
166835	0.0617	9	18	0	1	1	1
173736	0.0617	9	18	1	1	1	0
69476	0.0614	19	12	0	1	1	0
130619	0.0614	10	19	0	1	0	1
130624	0.0614	10	19	1	0	0	1
142984	0.0612	9	23	1	1	1	1
133971	0.0611	18	10	0	0	0	0
126169	0.0611	6	20	1	0	0	0
126946	0.0611	5	24	1	0	0	0
166475	0.0609	13	16	0	1	1	0
93739	0.0609	8	13	0	1	0	1
40123	0.0608	10	17	1	0	1	1
183192	0.0606	7	11	0	0	1	1
185824	0.0606	8	11	0	1	1	1
23044	0.0606	11	10	0	1	1	0
162232	0.0606	5	11	1	1	0	0
172943	0.0604	13	14	0	1	1	0
45097	0.0603	14	15	0	0	0	1
168881	0.0602	12	12	1	0	0	0
40393	0.0602	8	18	1	0	0	1
38763	0.06	15	10	0	0	1	1
188059	0.06	10	10	0	1	1	0
58742	0.0596	5	19	1	0	0	1
181999	0.0595	10	14	0	1	1	0
165461	0.0593	15	12	0	1	1	0
130628	0.0592	8	19	1	0	0	0
40120	0.0588	10	17	0	0	0	1
40121	0.0588	10	17	1	0	1	1
40122	0.0588	10	17	1	0	1	1
45658	0.0588	8	17	0	0	0	1
188902	0.0584	11	14	1	1	0	1
165267	0.0583	16	10	1	1	1	0
142258	0.0583	10	20	0	0	0	0
186258	0.0578	5	15	1	1	1	1
132138	0.0577	8	26	1	1	1	1
168884	0.0577	13	12	1	0	0	0
168886	0.0577	13	12	1	0	0	0
141603	0.0577	13	16	0	0	0	0
188065	0.0576	11	10	1	1	1	1
188041	0.0573	8	16	1	1	1	1
188911	0.0571	5	14	1	1	1	1
73358	0.0567	8	36	1	1	1	1
141745	0.0566	9	17	1	1	1	1
128700	0.0565	7	32	1	0	1	1
38843	0.0563	14	11	0	0	0	1
33577	0.0556	9	12	0	1	1	0
34875	0.0556	7	18	0	1	1	0
69357	0.0556	9	12	0	1	1	1
175770	0.0556	10	15	1	1	0	0
177444	0.0556	15	10	0	1	1	0
87318	0.0556	8	12	0	0	0	0
124396	0.0556	9	10	1	0	0	0
28457	0.0556	5	12	1	0	1	1
126950	0.0556	7	24	0	0	0	0
129622	0.0556	12	11	0	1	0	1
141225	0.0549	14	13	0	0	1	1
57287	0.0546	17	14	0	1	1	0
69320	0.0545	10	11	0	1	0	1
179759	0.0545	5	11	1	0	1	0
246	0.0544	7	14	1	0	1	0
131335	0.0543	8	23	0	1	0	1
129890	0.0541	9	13	0	0	0	0
127680	0.054	8	27	0	1	1	1
186259	0.054	7	15	1	1	1	1
141867	0.0539	11	18	0	0	0	0
134641	0.0539	11	18	1	0	0	0
28558	0.0538	10	13	0	0	1	1
134335	0.0537	12	15	0	0	1	0
165326	0.0535	17	11	0	1	1	1
168880	0.0534	13	12	1	0	0	0
168882	0.0534	13	12	1	0	0	0
131334	0.0531	9	23	0	1	1	1
175435	0.0531	14	13	0	1	0	0
124819	0.053	11	12	0	0	0	1
129693	0.053	12	11	0	0	0	1
57602	0.0525	11	15	0	0	0	1
183173	0.0523	11	11	0	1	0	0
165456	0.0523	17	12	0	1	1	0
70839	0.0523	6	17	1	1	0	1
155610	0.0521	16	12	0	0	0	0
165268	0.0519	18	10	0	1	1	0
40865	0.0519	9	20	1	0	0	1
141017	0.0519	9	10	1	0	0	1
182705	0.0519	5	18	1	1	1	1
94727	0.0519	6	15	1	0	0	1
168878	0.0516	14	12	1	0	0	0
