term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
7777	0.0771	1	817467,820665,843810,816545,839566,820041,828884,843095,838455,844378,821143,3770591,843596,835320,820741,837996	53	62	16	10
131585	0.0769	2	838807,838851,841558,841892,843903,820827,822132,822517,823831,827307,828884,835398,836043	82	94	13	13
137282	0.0768	2	838807,838851,841468,841558,841892,843903,818069,820827,822132,822517,823831,827307,828884,835398,836043	84	94	15	11
141356	0.0762	4	839433,838259,816270,816545,817499,819107,820041	85	104	7	20
32732	0.0762	5	843095,816545,817499,817620,820041	59	79	5	21
120575	0.075	5	838807,838851,841558,843903,820827,822132,822517,827307,828884,835398,836043	78	98	11	21
37787	0.075	7	816545,817499,817620,818343,819107,820041	60	79	6	20
37802	0.075	7	843095,816545,817499,817620,818343,820041	60	79	6	20
140151	0.075	2	839433,838259,816270,816545,817499,817620,818343,819107,820041,831861	85	96	10	12
131584	0.075	2	838807,838851,841558,841892,843903,818069,820827,822132,822517,823831,827307,835398,836043	82	94	13	13
141518	0.0748	4	839433,838259,843095,816545,817499,819107,820041	85	105	7	21
143333	0.0744	3	841468,841652,816768,818069,823831,827307,835398	86	101	7	16
13798	0.0744	1	820665,820041,816545,839566,843095,844378,838455,821143,3770591,843596,817467,820741,837996	55	64	13	10
107812	0.0741	6	841468,818069,820827,823831,835398,836043	74	100	6	27
107814	0.0741	3	841558,820827,822517,823831,827307,835398,836043	74	100	7	27
151478	0.0733	2	838362,841467,841892,843110,843827,816692,827727	90	102	7	13
143334	0.0729	4	841468,841558,841652,818069,822517,823831,827307,835398	86	101	8	16
30082	0.0727	1	843110,816651,841467,843827,841892,844230,842833,838362,814643,816692,829966	59	68	11	10
114716	0.0726	9	841468,841558,818069,820827,822517,823831,827307,835398,836043	76	100	9	25
61827	0.0722	3	838807,838851,841558,843903,820827,822517,827307,836043	65	79	8	15
61838	0.0722	3	838807,838851,841558,820827,822517,824970,827307,836043	65	79	8	15
145566	0.0718	2	839433,838259,843095,816270,816545,817499,817620,819107,820041	87	102	9	16
145392	0.0714	4	841468,841652,816768,818069,823831,827307,833471,835398	87	100	8	14
159423	0.0714	2	838362,838250,838779,841892,842833,844230	95	108	6	14
32031	0.0711	3	839566,837996,843095,816545,817620,821143,820041,820741	59	75	8	17
101378	0.0708	1	839433,843095,817620,832057,844343,838362,818343,831861	73	82	8	10
97675	0.0707	2	838807,838851,841468,841558,843903,820827,822132,822517,827307,828884,836043	72	83	11	12
97692	0.0707	2	838807,838851,841468,841558,820827,822132,822517,823831,827307,828884,836043	72	83	11	12
114450	0.07	4	838807,838851,841558,843903,818069,820827,822132,822517,823831,827307,835398,836043	76	98	12	23
105230	0.07	1	817499,817620,820041,817467,839642,843095,833471,3770591,838362,837996	74	83	10	10
87261	0.07	1	839566,843095,838362,817499,817620,832057,820041,818343,839433,831861	70	79	10	10
134238	0.0697	1	816270,831861,816545,820041,838362,817499,839433,838259,817620,818343,819107	83	92	11	10
145542	0.0691	5	841468,841558,841652,816768,818069,822517,823831,827307,835398	87	101	9	15
108018	0.069	4	841468,841558,823831,827307,835398	74	101	5	28
156653	0.0685	2	839433,839566,837996,838259,843095,816545,817499,820041	93	106	8	14
137894	0.0684	3	838807,838851,841558,843903,818069,820827,822132,822517,823831,827307,828884,835398,836043	84	98	13	15
18102	0.0675	3	838362,841467,842833,843110,816692,829966	56	69	6	14
145848	0.0671	3	839433,838259,843095,816270,816545,817499,819107,820041	87	104	8	18
37058	0.0667	5	839433,839566,837996,843095,816545,817620,818343,821143,820741,834232	60	75	10	16
21469	0.0667	3	838362,841467,841892,842833,843110,843827,844230,816651,816692,829966	57	68	10	12
87276	0.0667	1	838364,827001,818069,820211,825208,841652	70	79	6	10
161519	0.0667	1	817499,844378,816545,820041,837996,834232,839433,839566	98	107	8	10
97286	0.0667	1	823831,832070,841468,822517,828884,838807,841558,836043,822132,820827,827307,838851	72	81	12	10
97292	0.0667	1	828884,836043,822517,838807,841558,822132,832070,820827,841468,843903,827307,838851	72	81	12	10
71133	0.0662	3	838807,838851,841468,841558,843903,820827,822132,822517,827307,828884,832070,836043	67	79	12	13
113897	0.0658	7	838807,841468,841558,841892,818069,820827,822132,822517,823831,827307,835398,836043	76	94	12	19
42547	0.0652	5	839433,816545,817499,817620,818343,819107,820041	61	79	7	19
42551	0.0652	5	839433,843095,816545,817499,817620,818343,820041	61	79	7	19
128326	0.0648	2	839433,838362,817499,817620,819107,820041	81	92	6	12
64971	0.0648	4	838851,841558,843903,820827,822517,827307,836043	65	100	7	36
72663	0.0644	4	838807,841558,843903,820827,822517,828884,836043	67	83	7	17
72662	0.0644	4	838807,841558,820827,822132,822517,828884,836043	67	83	7	17
132198	0.0637	3	838807,838851,841558,843903,820827,822132,822517,823831,827307,828884,835398,836043	82	98	12	17
107804	0.0635	6	841468,818069,820827,823831,831472,832070,835398	74	100	7	27
160887	0.0633	1	820827,818316,827727,838672,841892,830128,843747,820775,844230,838250	97	106	10	10
82320	0.0629	1	839433,838362,844010,844343,816270,816545,817499,817620,818343,819107,820041,831861,832057	69	79	13	11
82330	0.0629	1	839433,838362,843095,844010,844343,816545,817499,817620,818343,819107,820041,831861,832057	69	79	13	11
77217	0.0625	2	839433,844010,844343,816270,816545,817499,817620,818343,819107,820041,831861,832057	68	79	12	12
77236	0.0625	2	839433,838362,844010,844343,816545,817499,817620,818343,819107,820041,831861,832057	68	79	12	12
114668	0.0625	9	841468,816768,818069,823831,827307,831472,832070,835398	76	99	8	24
142872	0.0623	1	838807,838851,841558,841652,843903,818069,820827,822132,822517,823831,827307,828884,835398,836043	86	98	14	13
158798	0.0619	1	838672,818316,838250,844230,843747,829966,830128	95	104	7	10
137228	0.0617	1	828884,836043,832070,818069,823831,835398,827307,822517,843903,824970,838807,841892,829995,816768,831472,820827,841558,822132,841468,838851	84	93	20	10
152879	0.0615	1	831861,839566,817499,817620,830754,816545,820041,843095,844343,837778,838259,839433,819107	91	100	13	10
106891	0.0612	5	838807,841468,841892,818069,822132,823831,835398	74	94	7	21
131583	0.0611	4	838807,841468,841558,841892,843903,818069,820827,822132,822517,823831,827307,835398,836043	82	94	13	13
71137	0.0611	3	838807,838851,841468,841558,820827,822132,822517,824970,827307,828884,831472,832070,836043	67	79	13	13
