term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
96504	0.2976	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	71	82	7	12
163937	0.2722	['AT2G18790', 'AT1G80380', 'AT5G42270', 'AT1G16880', 'AT2G29180', 'AT4G33010']	96	105	6	10
79782	0.2597	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	68	78	7	11
67098	0.2556	['AT2G18790', 'AT2G29180', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345']	66	75	6	10
107243	0.237	['AT1G03160', 'AT1G03090', 'AT1G67700', 'AT2G18790', 'AT2G29180', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345']	73	82	9	10
3106	0.2364	['AT1G44575', 'AT1G71500', 'AT1G79040', 'AT2G26550', 'AT3G56040']	51	61	5	11
4620	0.219	['AT3G56040', 'AT5G08540', 'AT1G71500', 'AT1G79040', 'AT2G26550', 'AT1G44575', 'AT1G65230']	52	61	7	10
135350	0.2167	['AT1G03160', 'AT2G18790', 'AT1G67700', 'AT1G16880', 'AT2G29180', 'AT1G14345']	80	89	6	10
163936	0.2143	['AT2G18790', 'AT1G80380', 'AT5G42270', 'AT1G16880', 'AT2G29180', 'AT3G08920', 'AT1G14345']	96	105	7	10
84930	0.1944	['AT1G03160', 'AT1G80380', 'AT5G42270', 'AT1G14345', 'AT4G33010', 'AT1G67700']	69	78	6	10
163296	0.1879	['AT1G14345', 'AT1G16880', 'AT2G18790', 'AT3G08920', 'AT5G42270']	95	105	5	11
3092	0.1857	['AT4G33010', 'AT3G08920', 'AT1G32500', 'AT3G14420', 'AT2G18790', 'AT5G53170', 'AT2G29180']	51	60	7	10
3088	0.1833	['AT3G56040', 'AT1G71500', 'AT1G22450', 'AT1G79040', 'AT2G26550', 'AT1G44575']	51	60	6	10
135351	0.1619	['AT1G03160', 'AT2G30695', 'AT1G03090', 'AT1G16880', 'AT1G67700', 'AT1G14345', 'AT2G29180']	80	89	7	10
79780	0.1616	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G30695', 'AT5G42270']	68	78	6	11
163943	0.1611	['AT1G03160', 'AT2G29180', 'AT3G08920', 'AT1G16880', 'AT5G42270', 'AT1G14345']	96	105	6	10
79358	0.1524	['AT1G03160', 'AT1G80380', 'AT2G30695', 'AT1G67700', 'AT2G37660', 'AT5G42270', 'AT1G14345']	68	77	7	10
126780	0.1471	['AT1G50450', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830', 'AT4G38100']	77	93	6	17
54543	0.1296	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G20260', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G42270']	64	75	9	12
165163	0.125	['AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G80380', 'AT3G08920', 'AT5G42270']	98	109	6	12
163833	0.1244	['AT1G03160', 'AT1G14345', 'AT1G16880', 'AT3G08920', 'AT5G42270']	95	109	5	15
27431	0.1212	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G38100']	59	69	7	11
3111	0.1151	['AT1G03160', 'AT1G67700', 'AT2G20260', 'AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G33010']	51	62	7	12
74864	0.1143	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700']	67	81	7	15
67096	0.1111	['AT4G27700', 'AT5G53170', 'AT4G16155', 'AT1G56500', 'AT5G59250', 'AT1G22450']	66	75	6	10
142833	0.1111	['AT1G03160', 'AT2G29500', 'AT2G30695', 'AT1G03090', 'AT1G16880', 'AT1G67700']	83	92	6	10
116259	0.1086	['AT1G51350', 'AT2G35040', 'AT3G15840', 'AT4G16155', 'AT5G53170']	74	100	5	27
50434	0.1082	['AT1G02560', 'AT1G80030', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G01500']	63	81	6	19
