term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	windowSize
TPO:98304	0.8198	5	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G67280,AT1G74710,AT1G79230,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G22690,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G24930,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	26	19
TPO:163842	0.4	2	AT1G02560,AT1G03160,AT1G12250,AT1G14345,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G37660,AT2G40100,AT2G44990,AT4G37925,AT5G01500,AT5G19370	95	110	15	16
TPO:98308	0.5492	7	AT1G06690,AT1G10170,AT1G17850,AT1G23740,AT1G31180,AT1G55370,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G27290,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G31560,AT4G35770,AT5G23890,AT5G42070,AT5G42765	71	89	23	19
TPO:98310	0.7677	7	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	29	19
TPO:98305	0.7386	6	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G31180,AT1G42960,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G35770,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	30	19
TPO:60076	0.8036	8	AT1G06690,AT1G66670,AT1G67280,AT3G10130,AT3G22690,AT3G26580,AT3G55330	64	103	7	40
TPO:98315	0.7797	7	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G67280,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:98316	0.846	7	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G67280,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:98318	0.8102	5	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G31180,AT1G42960,AT1G67280,AT1G74710,AT1G79230,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G35770,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	28	19
TPO:131088	0.8021	5	AT1G22020,AT1G51350,AT1G75690,AT2G35040,AT3G28850,AT3G46780,AT4G16155,AT5G59250	78	101	8	24
TPO:98321	0.4934	5	AT1G06690,AT1G17850,AT1G52220,AT1G55370,AT2G27290,AT4G13670,AT4G35770,AT5G23890	71	89	8	19
TPO:98323	0.7368	8	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G66670,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G35770,AT4G39730,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	29	19
TPO:98324	0.5957	7	AT1G06690,AT1G10170,AT1G17850,AT1G23740,AT1G31180,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G40760,AT3G10130,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G20820,AT4G31560,AT4G35770,AT5G23890,AT5G42070,AT5G42765	71	89	22	19
TPO:98325	0.6751	7	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G66670,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G35770,AT4G39730,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	29	19
TPO:131097	0.8241	7	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G46780,AT4G16155,AT5G16660,AT5G19500,AT5G59250	78	101	9	24
TPO:163866	0.4	4	AT1G12250,AT1G14150,AT1G80030,AT2G17630,AT2G26800,AT2G37660,AT2G40100,AT3G01440,AT4G04020,AT4G18370,AT5G19370,AT5G42070	95	110	12	16
TPO:27312	0.9074	10	AT1G07510,AT1G15820,AT2G24020,AT2G40760,AT3G57680,AT4G20820,AT5G21430,AT5G52970	58	111	8	54
TPO:56302	0.7444	4	AT1G06690,AT1G07510,AT1G52220,AT2G22360,AT3G55330,AT3G57680,AT4G35770,AT5G21430,AT5G42070,AT5G52970	64	81	10	18
