threshold	term	GeneSize	WindowSize	key	value
1.0	183	5	6	AT1G80030,AT1G12250,AT5G39830,AT4G19830,AT1G66670	2,3,4,5,6,7
1.0	184	6	4	AT5G19500,AT4G13010,AT1G07510,AT3G58010,AT1G51110,AT2G40760	2,3,4,5
0.99	185	13	5	AT2G17630,AT2G30950,AT1G79230,AT3G10470,AT4G04020,AT5G19370,AT5G42270,AT5G03455,AT5G42070,AT1G67280,AT2G27290,AT5G01500,AT5G15250	2,3,4,5,6
0.99	186	6	5	AT4G13010,AT5G52970,AT3G60370,AT3G58010,AT5G59250,AT5G21430	2,3,4,5,6
0.98	187	5	4	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT3G24590	2,3,4,5
0.98	188	30	5	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT2G35040,AT4G19830,AT3G28850,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT5G52440,AT2G26800	2,3,4,5,6
0.97	189	35	5	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT1G17850,AT2G35040,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT5G52440,AT2G26800	2,3,4,5,6
0.97	190	5	4	AT2G42975,AT4G39960,AT1G76760,AT3G24590,AT2G37230	2,3,4,5
0.97	191	35	5	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT1G17850,AT2G35040,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT4G35770,AT2G26800	2,3,4,5,6
0.97	192	5	2	AT2G42975,AT4G39960,AT1G16790,AT1G76760,AT3G24590	2,3
0.96	193	42	5	AT2G17630,AT3G10470,AT5G13120,AT1G07510,AT4G20820,AT4G13670,AT1G12250,AT5G42070,AT5G39830,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT4G39460,AT5G59250,AT5G12470,AT5G21430,AT2G27290,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G42270,AT5G15250,AT3G57680,AT4G35770	2,3,4,5,6
