term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
162216	0.0866	AT1G65260,AT1G67840,AT1G74880,AT2G01140,AT2G21530,AT4G19830,AT4G38100	84	94	7	11
70621	0.0858	AT1G02560,AT1G03090,AT1G80030,AT2G30695,AT2G37660,AT3G08920,AT5G01500,AT5G19370	65	81	8	17
180024	0.0855	AT1G50450,AT1G54500,AT1G67840,AT1G74880,AT2G21530,AT4G19830	90	102	6	13
23466	0.0855	AT1G14345,AT1G67700,AT3G01440,AT3G08920,AT4G27700,AT4G37925	57	69	6	13
124312	0.0852	AT3G46780,AT1G22020,AT4G27700,AT4G16155,AT1G22450,AT3G15840,AT1G51350,AT5G59250,AT3G28850	74	83	9	10
69359	0.0833	AT1G22020,AT1G22450,AT1G56500,AT4G16155,AT4G27700,AT5G59250	65	76	6	12
141136	0.0833	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	78	89	12	12
179630	0.0833	AT1G50450,AT1G21750,AT4G19830,AT1G67840,AT1G65260,AT1G74880,AT1G54500,AT2G21530	90	99	8	10
148329	0.0833	AT1G03160,AT2G29500,AT2G30695,AT1G03090,AT3G08920,AT2G44990	80	89	6	10
160217	0.0833	AT1G02560,AT1G16880,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920	83	100	8	18
162143	0.0833	AT1G67840,AT4G19830,AT1G74880,AT2G21530,AT4G38100,AT1G21750,AT1G65260,AT2G01140	84	93	8	10
76329	0.0823	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G28850,AT4G16155,AT4G27700,AT5G59250	66	83	9	18
33378	0.0818	AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT4G27700,AT4G37925	59	69	10	11
46222	0.0807	AT1G02560,AT1G67700,AT2G30695,AT2G37660,AT3G08920	61	79	5	19
132141	0.0806	AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT4G16155,AT5G53170	75	100	7	26
155445	0.0806	AT1G75690,AT3G46780,AT5G53170,AT4G16155,AT5G59250,AT3G28850,AT4G27700,AT3G15840,AT1G22020,AT1G51350,AT3G25480,AT1G22450	82	91	12	10
33573	0.0802	AT1G03160,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT4G27700,AT4G37925	59	70	9	12
159066	0.0802	AT1G02560,AT1G03090,AT1G16880,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920	83	94	9	12
35613	0.0794	AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920	59	79	5	21
