TermId	 GeneSize	Gene
212	72	AT1G02560,AT1G03160,AT1G06690,AT1G07510,AT1G12250,AT1G14150,AT1G14345,AT1G15820,AT1G17850,AT1G29920,AT1G42960,AT1G51110,AT1G52220,AT1G54050,AT1G54580,AT1G56500,AT1G66670,AT1G67280,AT1G67700,AT1G72640,AT1G74710,AT1G75690,AT1G79230,AT1G80030,AT2G17630,AT2G20260,AT2G20270,AT2G26800,AT2G27290,AT2G29500,AT2G30950,AT2G35040,AT2G37660,AT2G40100,AT2G40760,AT2G41330,AT2G43010,AT2G44990,AT3G10470,AT3G22690,AT3G26580,AT3G28850,AT3G47060,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G04020,AT4G13670,AT4G18370,AT4G19830,AT4G20820,AT4G31560,AT4G35770,AT4G38380,AT4G39460,AT5G01500,AT5G03455,AT5G08540,AT5G12470,AT5G13120,AT5G15250,AT5G16150,AT5G16660,AT5G19370,AT5G19500,AT5G20140,AT5G39830,AT5G42070,AT5G42270,AT5G52970,AT5G53170
213	81	AT1G02560,AT1G03160,AT1G06690,AT1G07510,AT1G12250,AT1G14150,AT1G14345,AT1G15140,AT1G15820,AT1G17850,AT1G18730,AT1G29920,AT1G42960,AT1G50460,AT1G51110,AT1G51350,AT1G52220,AT1G54050,AT1G54580,AT1G55370,AT1G56500,AT1G66670,AT1G67280,AT1G67700,AT1G72640,AT1G74710,AT1G75690,AT1G79230,AT1G80030,AT2G17630,AT2G20260,AT2G20270,AT2G24020,AT2G26800,AT2G27290,AT2G29500,AT2G30950,AT2G35040,AT2G37660,AT2G40100,AT2G40760,AT2G41330,AT2G43010,AT2G44990,AT3G10470,AT3G22690,AT3G26580,AT3G28850,AT3G46780,AT3G47060,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G04020,AT4G13010,AT4G13670,AT4G16155,AT4G18370,AT4G19830,AT4G20820,AT4G31560,AT4G35770,AT4G38380,AT4G39460,AT5G01500,AT5G03455,AT5G08540,AT5G12470,AT5G13120,AT5G15250,AT5G16150,AT5G16660,AT5G19370,AT5G19500,AT5G20140,AT5G39830,AT5G42070,AT5G42270,AT5G52970,AT5G59250
214	82	AT1G02560,AT1G06690,AT1G07510,AT1G12250,AT1G14150,AT1G14345,AT1G15140,AT1G15820,AT1G17850,AT1G18730,AT1G22020,AT1G29920,AT1G42960,AT1G50460,AT1G51110,AT1G51350,AT1G52220,AT1G54050,AT1G54580,AT1G55370,AT1G56500,AT1G66670,AT1G67280,AT1G67700,AT1G72640,AT1G74710,AT1G75690,AT1G79230,AT1G80030,AT2G17630,AT2G20270,AT2G24020,AT2G26800,AT2G27290,AT2G30950,AT2G35040,AT2G37660,AT2G40100,AT2G40760,AT2G41330,AT2G43010,AT2G44990,AT3G10470,AT3G15110,AT3G21055,AT3G22690,AT3G26580,AT3G28850,AT3G46780,AT3G47060,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G04020,AT4G13010,AT4G13670,AT4G16155,AT4G18370,AT4G19830,AT4G20820,AT4G31560,AT4G35770,AT4G38380,AT4G39460,AT5G01500,AT5G03455,AT5G08540,AT5G12470,AT5G13120,AT5G15250,AT5G16150,AT5G16660,AT5G19370,AT5G19500,AT5G20140,AT5G21430,AT5G39830,AT5G42070,AT5G42270,AT5G52970,AT5G59250
215	2	AT1G54780,AT4G28025
216	2	AT1G10170,AT5G42765
217	3	AT1G14590,AT4G01050,AT4G27700
218	5	AT1G22020,AT1G54500,AT3G15110,AT3G21055,AT5G21430
219	6	AT1G03160,AT2G20260,AT2G29500,AT3G08920,AT4G33010,AT5G53170
220	6	AT1G22020,AT2G22360,AT3G15110,AT3G21055,AT5G21430,AT5G52440
221	15	AT1G15140,AT1G18730,AT1G22020,AT1G50460,AT1G51350,AT1G55370,AT2G24020,AT3G15110,AT3G21055,AT3G46780,AT4G13010,AT4G16155,AT5G21430,AT5G52440,AT5G59250
222	20	AT1G03850,AT1G05385,AT1G16790,AT1G23740,AT1G54790,AT1G76760,AT1G79450,AT2G01918,AT2G26340,AT2G42975,AT3G10130,AT4G01900,AT4G24750,AT4G24930,AT4G37925,AT4G39730,AT4G39960,AT5G23890,AT5G52780,AT5G53490
223	24	AT1G03850,AT1G05385,AT1G16790,AT1G23740,AT1G54790,AT1G76760,AT1G78915,AT1G79450,AT2G01918,AT2G21160,AT2G26340,AT2G37230,AT2G42975,AT3G10130,AT3G53560,AT4G01900,AT4G24750,AT4G39730,AT4G39960,AT5G02160,AT5G23890,AT5G52780,AT5G53490,AT5G62720
