wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
3907	39	46	7	112	['AT2G17630', 'AT4G13670', 'AT5G02160', 'AT1G07510', 'AT1G75690', 'AT3G10470', 'AT1G14150', 'AT4G39960', 'AT1G31180', 'AT2G43010', 'AT2G42220', 'AT1G23740', 'AT4G16155', 'AT4G35770', 'AT1G50250', 'AT4G38380', 'AT2G40100', 'AT4G27700', 'AT3G15840', 'AT4G37925', 'AT1G29920', 'AT5G19500', 'AT2G30695', 'AT4G13010', 'AT5G42765', 'AT1G15140', 'AT1G67280', 'AT4G23890', 'AT1G06690', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT2G40760', 'AT2G40400', 'AT3G46780', 'AT4G31560', 'AT4G20820', 'AT5G42070', 'AT3G15360', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT3G22690', 'AT1G17850', 'AT3G28850', 'AT4G24930', 'AT2G37660', 'AT4G18370', 'AT5G19370', 'AT1G74710', 'AT1G66670', 'AT4G01900', 'AT3G55330', 'AT1G79230', 'AT3G47060', 'AT5G13120', 'AT5G16150', 'AT5G59250', 'AT2G26800', 'AT2G01918', 'AT5G52970', 'AT1G27510', 'AT1G12250', 'AT1G54580', 'AT2G42975', 'AT3G10130', 'AT1G10170', 'AT3G60370', 'AT1G54050', 'AT4G01050', 'AT5G21430', 'AT1G80030', 'AT1G72640', 'AT3G24590', 'AT1G15820', 'AT2G22360', 'AT1G18730', 'AT3G26580', 'AT5G01500', 'AT1G14590', 'AT3G08920', 'AT1G52220', 'AT4G04020', 'AT5G16660', 'AT2G44990', 'AT3G15110', 'AT1G22450', 'AT1G16880', 'AT5G53170', 'AT1G42960', 'AT1G02560', 'AT3G58010', 'AT1G51350', 'AT4G39460', 'AT2G27290', 'AT1G50460', 'AT5G23890', 'AT2G35040', 'AT1G22020', 'AT1G67700', 'AT5G03455', 'AT3G25480', 'AT5G52780', 'AT5G12470', 'AT1G55370', 'AT2G24020', 'AT1G76760', 'AT4G24750', 'AT5G15250', 'AT3G57680', 'AT5G35170', 'AT3G01440']
1025	1	26	25	6	['AT5G39830', 'AT2G29500', 'AT2G20260', 'AT2G37660', 'AT1G02560', 'AT2G44990']
2707	27	34	7	4	['AT3G17830', 'AT4G33520', 'AT4G25910', 'AT4G36810']
1028	1	29	28	4	['AT1G67700', 'AT5G42270', 'AT1G03160', 'AT1G14345']
11017	11	28	17	4	['AT3G53560', 'AT3G26080', 'AT1G16790', 'AT2G37400']
6014	6	20	14	18	['AT2G30950', 'AT5G20140', 'AT1G55370', 'AT5G42765', 'AT2G20270', 'AT3G60370', 'AT1G76760', 'AT4G39960', 'AT4G18370', 'AT4G04020', 'AT5G19370', 'AT1G12250', 'AT2G35040', 'AT2G27290', 'AT1G80030', 'AT4G24750', 'AT5G23890', 'AT5G03455']
1025a	1	26	25	5	['AT1G18730', 'AT2G41330', 'AT2G26800', 'AT5G13120', 'AT1G14150']
36010	36	46	10	4	['AT1G79040', 'AT3G56040', 'AT1G65230', 'AT1G71500']
24016	24	40	16	11	['AT2G42220', 'AT5G19500', 'AT2G42975', 'AT1G52220', 'AT1G54500', 'AT3G58010', 'AT4G38380', 'AT2G22360', 'AT5G16150', 'AT5G21430', 'AT1G50460']
26010	26	36	10	20	['AT2G17630', 'AT3G08920', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G03160', 'AT5G62720', 'AT1G14345', 'AT1G27510', 'AT1G02560', 'AT1G14150', 'AT1G67700', 'AT2G37660', 'AT1G03090', 'AT2G44990', 'AT3G47060', 'AT5G35170', 'AT4G23890', 'AT4G37925', 'AT3G01440']
