term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
140059	0.101	['AT1G02560', 'AT1G03160', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	85	95	9	11
73006	0.0987	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G59250']	67	85	8	19
101483	0.0976	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G53170', 'AT5G59250']	73	83	9	11
119583	0.0972	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	78	91	12	14
134285	0.0952	['AT1G03160', 'AT1G16880', 'AT1G03090', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT1G02560']	83	92	7	10
26328	0.0952	['AT1G67700', 'AT3G01440', 'AT3G08920', 'AT4G27700', 'AT4G37925']	58	71	5	14
153556	0.0938	['AT1G03160', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT3G08920']	91	106	6	16
137231	0.0926	['AT1G67840', 'AT1G21750', 'AT1G50450', 'AT4G19830', 'AT1G65260', 'AT1G74880', 'AT2G01140', 'AT2G21530', 'AT4G38100']	84	93	9	10
156944	0.0926	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G16880', 'AT2G20260', 'AT3G08920']	93	107	6	15
104035	0.0913	['AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G53170', 'AT5G59250']	73	100	6	28
108019	0.0905	['AT1G51350', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170']	74	101	5	28
140166	0.0903	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	85	96	8	12
21653	0.0897	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G65260', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G38100']	57	69	8	13
131253	0.0889	['AT2G29500', 'AT3G08920', 'AT1G03090', 'AT2G30695', 'AT1G67700', 'AT1G03160']	82	91	6	10
