TermId	 GeneSize	Gene
209	82	AT2G17630 AT3G10470 AT4G13670 AT5G20140 AT4G31560 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT2G26800 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT5G13120 AT2G43010 AT5G16660 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT3G60370 AT4G35770 AT3G58010 AT5G08540 AT4G19830 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT2G40100 AT4G39460 AT5G15250 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G17850 AT1G29920 AT2G35040 AT3G28850 AT1G72640 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G67280 AT3G26580 AT1G06690 AT5G01500 AT2G30950 AT3G55330 AT3G47060 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT3G57680 AT2G44990 AT2G41330 AT5G03455 AT3G46780 AT1G55370 AT5G59250 AT1G15140 AT4G13010 AT2G24020 AT4G16155 AT1G51350 AT1G18730 AT1G50460 AT3G21055 AT5G21430 AT1G22020 AT3G15110
210	72	AT2G17630 AT3G10470 AT4G13670 AT5G20140 AT4G31560 AT5G52970 AT1G07510 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT2G26800 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT5G13120 AT2G43010 AT5G16660 AT5G39830 AT1G74710 AT2G20270 AT1G66670 AT3G60370 AT4G35770 AT3G58010 AT5G08540 AT4G19830 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT2G40100 AT4G39460 AT5G15250 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G17850 AT1G29920 AT2G35040 AT3G28850 AT1G72640 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G67280 AT3G26580 AT1G06690 AT5G01500 AT2G30950 AT3G55330 AT3G47060 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT3G57680 AT2G44990 AT2G41330 AT5G03455 AT5G53170 AT2G29500 AT2G20260 AT1G03160
211	4	AT4G25050 AT1G73530 AT4G31390 AT1G03600
212	2	AT4G27700 AT1G14590
213	3	AT4G33010 AT3G08920 AT5G53170
214	5	AT5G52440 AT5G21430 AT1G22020 AT3G21055 AT3G15110
215	85	AT1G03160 AT2G20260 AT2G29500 AT2G17630 AT3G10470 AT5G20140 AT4G13670 AT3G46780 AT2G40100 AT1G15140 AT5G13120 AT4G31560 AT1G07510 AT5G52970 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT2G43010 AT5G39830 AT1G74710 AT4G04020 AT1G67280 AT5G59250 AT2G20270 AT1G66670 AT4G35770 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT4G13010 AT2G40760 AT1G54050 AT3G22690 AT1G51350 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G50460 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT1G06690 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT1G67700 AT5G19370 AT1G18730 AT5G03455 AT3G26580 AT5G01500 AT2G30950 AT5G08540 AT4G16155 AT3G55330 AT2G24020 AT1G52220 AT1G79230 AT3G47060 AT1G51110 AT5G16150 AT5G15250 AT3G57680 AT2G44990 AT1G55370 AT2G41330 AT2G26800 AT5G21430 AT1G22020 AT3G21055 AT3G15110
216	82	AT1G03160 AT2G20260 AT2G29500 AT2G17630 AT3G10470 AT5G20140 AT4G13670 AT3G46780 AT2G40100 AT1G15140 AT5G13120 AT4G31560 AT1G07510 AT5G52970 AT4G20820 AT1G75690 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT2G43010 AT5G39830 AT1G74710 AT4G04020 AT1G67280 AT5G59250 AT2G20270 AT1G66670 AT4G35770 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT4G13010 AT2G40760 AT1G54050 AT3G22690 AT1G51350 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G50460 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT1G06690 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT1G67700 AT5G19370 AT1G18730 AT5G03455 AT3G26580 AT5G01500 AT2G30950 AT5G08540 AT4G16155 AT3G55330 AT2G24020 AT1G52220 AT1G79230 AT3G47060 AT1G51110 AT5G16150 AT5G15250 AT3G57680 AT2G44990 AT1G55370 AT2G41330 AT2G26800 AT5G53170
217	6	AT1G03160 AT2G20260 AT2G29500 AT3G08920 AT5G53170 AT4G33010
218	5	AT1G54500 AT5G21430 AT1G22020 AT3G21055 AT3G15110
