term_id	sign_score	annotation_gene	start_time	end_time	geneSize	timeSize
162178	0.0875	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	84	94	8	11
162214	0.0846	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	84	94	13	11
23466	0.0833	['AT1G14345', 'AT1G67700', 'AT3G01440', 'AT3G08920', 'AT4G27700', 'AT4G37925']	57	69	6	13
160217	0.0833	['AT1G02560', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920']	83	100	8	18
162143	0.0833	['AT1G67840', 'AT4G19830', 'AT1G74880', 'AT2G21530', 'AT4G38100', 'AT1G21750', 'AT1G65260', 'AT2G01140']	84	93	8	10
34860	0.0824	['AT1G14345', 'AT1G67700', 'AT2G30695', 'AT3G01440', 'AT3G08920']	59	76	5	18
23362	0.0823	['AT1G03090', 'AT1G50450', 'AT1G65260', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G38100']	57	68	7	12
132141	0.0819	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G46780', 'AT4G16155', 'AT5G53170']	75	100	7	26
93040	0.0815	['AT1G75690', 'AT3G28850', 'AT5G59250', 'AT4G27700', 'AT1G22020', 'AT5G16660', 'AT1G51350', 'AT3G15840', 'AT4G16155', 'AT1G22450']	69	78	10	10
177463	0.0808	['AT1G02560', 'AT2G44990', 'AT1G03160', 'AT2G29500', 'AT2G30695', 'AT5G08540', 'AT1G67700', 'AT3G08920', 'AT1G16880', 'AT2G20260', 'AT5G01500']	89	98	11	10
155747	0.0808	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	82	94	11	13
159066	0.0808	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920']	83	94	9	12
159096	0.0808	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	83	94	12	12
70621	0.0807	['AT1G02560', 'AT1G03090', 'AT1G80030', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G01500', 'AT5G19370']	65	81	8	17
1976	0.0802	['AT1G03160', 'AT2G29180', 'AT4G33010', 'AT3G14420', 'AT3G08920', 'AT5G53170']	50	59	6	10
106630	0.0794	['AT5G01500', 'AT1G67700', 'AT1G80030', 'AT1G03090', 'AT2G30695', 'AT2G37660', 'AT1G02560']	71	80	7	10
179630	0.0787	['AT1G50450', 'AT1G21750', 'AT4G19830', 'AT1G67840', 'AT1G65260', 'AT1G74880', 'AT1G54500', 'AT2G21530']	90	99	8	10
57279	0.0786	['AT1G02560', 'AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G67700', 'AT1G80380', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G01500', 'AT5G42270']	63	76	15	14
76329	0.0784	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G59250']	66	83	9	18
124312	0.0782	['AT3G46780', 'AT1G22020', 'AT4G27700', 'AT4G16155', 'AT1G22450', 'AT3G15840', 'AT1G51350', 'AT5G59250', 'AT3G28850']	74	83	9	10
133156	0.0778	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G46780', 'AT5G53170']	75	105	5	31
46222	0.0778	['AT1G02560', 'AT1G67700', 'AT2G30695', 'AT2G37660', 'AT3G08920']	61	79	5	19
129578	0.0778	['AT1G03160', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT1G27510', 'AT1G67700', 'AT1G03090', 'AT5G35170', 'AT2G29180', 'AT1G14345']	75	84	10	10
162462	0.0772	['AT1G02560', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G08540']	84	96	9	13
172389	0.0771	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT1G80030', 'AT2G17630', 'AT2G30695', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G08540', 'AT5G19370']	87	98	11	12
165883	0.0769	['AT1G02560', 'AT1G12250', 'AT1G16880', 'AT1G80030', 'AT2G17630', 'AT2G30695', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G08540', 'AT5G19370']	85	98	11	14
180182	0.0769	['AT1G50450', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830']	90	103	5	14
148786	0.0769	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	80	93	12	14
45369	0.0768	['AT1G03160', 'AT1G14150', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G42270']	61	76	11	16
35613	0.0767	['AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920']	59	79	5	21
58227	0.0764	['AT1G02560', 'AT1G67700', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G01500']	63	79	6	17
126168	0.076	['AT1G22020', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT5G53170', 'AT5G59250']	74	93	6	20
160544	0.076	['AT1G02560', 'AT1G16880', 'AT2G20260', 'AT2G30695', 'AT2G37660', 'AT2G44990']	83	102	6	20
141136	0.0758	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	78	89	12	12
34859	0.0756	['AT1G03160', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920']	59	76	7	18
182355	0.0756	['AT1G02560', 'AT1G03160', 'AT1G16880', 'AT2G20260', 'AT2G29500']	91	106	5	16
148369	0.0744	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	80	90	13	11
69471	0.0742	['AT1G02560', 'AT1G03090', 'AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G67700', 'AT1G76760', 'AT1G80030', 'AT1G80380', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G01500', 'AT5G19370', 'AT5G42270']	65	76	20	12
106636	0.0741	['AT1G02560', 'AT1G03160', 'AT1G67700', 'AT1G03090', 'AT2G30695', 'AT2G37660']	71	80	6	10
148329	0.0741	['AT1G03160', 'AT2G29500', 'AT2G30695', 'AT1G03090', 'AT3G08920', 'AT2G44990']	80	89	6	10
155445	0.0741	['AT1G75690', 'AT3G46780', 'AT5G53170', 'AT4G16155', 'AT5G59250', 'AT3G28850', 'AT4G27700', 'AT3G15840', 'AT1G22020', 'AT1G51350', 'AT3G25480', 'AT1G22450']	82	91	12	10
158898	0.0741	['AT2G17630', 'AT1G80030', 'AT5G19370', 'AT1G03090', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT3G08920', 'AT1G02560', 'AT1G16880', 'AT2G37660', 'AT2G44990', 'AT5G01500']	83	92	13	10
126501	0.0741	['AT1G22020', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G58010', 'AT5G53170']	74	95	6	22
131332	0.0739	['AT1G22020', 'AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G46780', 'AT4G16155', 'AT5G53170']	75	97	8	23
33378	0.0733	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT4G27700', 'AT4G37925']	59	69	10	11
74412	0.0733	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G56500', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G59250']	66	76	10	11
70094	0.0718	['AT1G22020', 'AT1G22450', 'AT1G56500', 'AT4G27700', 'AT5G59250']	65	78	5	14
125653	0.0714	['AT1G22020', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G58010', 'AT5G16660', 'AT5G53170']	74	90	7	17
132142	0.0711	['AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G46780', 'AT4G16155', 'AT5G53170']	75	100	6	26
141707	0.0708	['AT1G03090', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	78	94	5	17
131338	0.0702	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	75	97	11	23
167246	0.0702	['AT1G02560', 'AT1G16880', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920', 'AT5G01500']	85	104	8	20
162174	0.07	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G08540']	84	94	10	11
93113	0.07	['AT4G16155', 'AT1G22450', 'AT5G59250', 'AT4G27700', 'AT1G56500', 'AT3G15840', 'AT1G22020', 'AT1G51350', 'AT5G16660']	69	78	9	10
106680	0.0697	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G59250']	71	81	11	11
63634	0.0694	['AT1G02560', 'AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G67700', 'AT1G76760', 'AT1G80380', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G01500', 'AT5G19370', 'AT5G42270']	64	76	18	13
45371	0.0685	['AT1G02560', 'AT1G03160', 'AT1G14150', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT3G15110', 'AT5G42270']	61	76	12	16
162679	0.0684	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	84	97	12	14
70401	0.068	['AT1G02560', 'AT1G03090', 'AT1G67700', 'AT2G30695', 'AT2G37660', 'AT3G08920', 'AT5G01500']	65	79	7	15
148328	0.0679	['AT1G03160', 'AT2G29500', 'AT2G30695', 'AT1G03090', 'AT1G67700', 'AT1G14345']	80	89	6	10
134642	0.0677	['AT1G22020', 'AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	93	11	18
100293	0.0673	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G27700', 'AT5G59250']	70	81	9	12
181471	0.0673	['AT2G17630', 'AT5G01500', 'AT1G03160', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G67700', 'AT3G08920', 'AT1G16880', 'AT2G44990', 'AT1G02560']	91	100	11	10
159090	0.0673	['AT1G22020', 'AT1G51350', 'AT1G54500', 'AT3G15840', 'AT3G25480', 'AT3G46780', 'AT3G53560', 'AT4G16155', 'AT5G53170']	83	94	9	12
57282	0.067	['AT1G02560', 'AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G67700', 'AT1G76760', 'AT1G80030', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G01500', 'AT5G19370', 'AT5G42270']	63	76	18	14
165276	0.0667	['AT3G46780', 'AT5G53170', 'AT4G16155', 'AT1G51350', 'AT1G22020', 'AT3G15840', 'AT3G53560', 'AT5G53490', 'AT1G54500', 'AT3G25480']	85	94	10	10
174216	0.0667	['AT1G07510', 'AT2G20270', 'AT4G13670', 'AT5G12470', 'AT5G53170']	87	106	5	20
175105	0.0667	['AT1G02560', 'AT1G12250', 'AT1G16880', 'AT1G67700', 'AT1G80030', 'AT2G17630', 'AT2G30695', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G08540', 'AT5G19370']	88	98	12	11
155613	0.0667	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G54500', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G19500', 'AT5G53170', 'AT5G59250']	82	93	15	12
183192	0.0667	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830']	92	102	7	11
160957	0.0667	['AT1G02560', 'AT1G16880', 'AT2G20260', 'AT2G37660', 'AT2G44990']	83	104	5	22
162232	0.0667	['AT1G03090', 'AT1G03160', 'AT1G67700', 'AT2G29500', 'AT2G30695']	84	94	5	11
130909	0.0667	['AT1G22020', 'AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G46780', 'AT4G16155', 'AT5G53170']	75	95	9	21
142985	0.0663	['AT1G50460', 'AT2G35040', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G53170']	78	100	8	23
172033	0.0661	['AT2G17630', 'AT1G80030', 'AT2G37660', 'AT5G19370', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT5G08540', 'AT2G20260', 'AT3G08920', 'AT1G16880', 'AT2G44990', 'AT1G02560', 'AT5G01500']	87	96	14	10
34695	0.066	['AT1G14345', 'AT1G67700', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT4G37925']	59	75	6	17
57018	0.0654	['AT1G02560', 'AT1G03160', 'AT1G14150', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT1G80380', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT4G37925', 'AT5G01500', 'AT5G42270']	63	75	17	13
74784	0.0649	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G56500', 'AT3G28850', 'AT4G27700', 'AT5G59250']	66	77	7	12
35132	0.0648	['AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920']	59	77	6	19
183438	0.0648	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920']	92	104	9	13
35125	0.0648	['AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT4G37925']	59	77	6	19
23044	0.064	['AT4G27700', 'AT2G29500', 'AT2G20260', 'AT1G03160', 'AT3G08920', 'AT1G67700', 'AT4G37925', 'AT1G80380', 'AT1G18730', 'AT3G01440', 'AT1G14345']	57	66	11	10
69476	0.0638	['AT1G02560', 'AT1G03090', 'AT1G14150', 'AT1G67700', 'AT1G76760', 'AT1G80030', 'AT1G80380', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G01500', 'AT5G19370', 'AT5G42270']	65	76	19	12
173736	0.0632	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920', 'AT5G01500']	87	104	9	18
134103	0.0628	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	87	14	12
34620	0.0625	['AT1G03160', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT4G37925']	59	75	8	17
2032	0.0625	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT1G72640', 'AT2G20260', 'AT3G08920', 'AT3G14420', 'AT4G33010']	50	62	8	13
69327	0.0625	['AT1G22450', 'AT1G56500', 'AT2G42220', 'AT4G27700', 'AT4G38380', 'AT4G39460', 'AT5G16660', 'AT5G53170']	65	75	8	11
40120	0.0625	['AT1G03160', 'AT1G14150', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110']	60	76	10	17
40123	0.0625	['AT1G03160', 'AT1G14150', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G15110', 'AT5G42270']	60	76	10	17
141736	0.0625	['AT1G54500', 'AT3G25480', 'AT3G46780', 'AT3G53560', 'AT5G53170']	78	94	5	17
142984	0.0623	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G19500', 'AT5G53170']	78	100	9	23
129891	0.062	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	75	87	13	13
129889	0.062	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	75	87	13	13
38843	0.0619	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT4G27700', 'AT4G37925', 'AT5G35170']	60	70	14	11
141596	0.0617	['AT1G50460', 'AT2G35040', 'AT3G25480', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G53170']	78	93	9	16
166475	0.0615	['AT1G02560', 'AT1G12250', 'AT1G16880', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G19370']	85	100	13	16
181999	0.0615	['AT1G02560', 'AT1G03160', 'AT1G16880', 'AT1G67700', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920', 'AT5G01500']	91	104	10	14
188911	0.0615	['AT1G22020', 'AT2G22360', 'AT3G21055', 'AT5G21430', 'AT5G52440']	98	111	5	14
126169	0.0614	['AT1G22020', 'AT1G50460', 'AT2G35040', 'AT3G25480', 'AT5G53170', 'AT5G59250']	74	93	6	20
