term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
88001	0.3111	['AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	[19, 20, 21, 22, 23, 24]	6	6
11823	0.3056	['AT3G56040', 'AT2G26550', 'AT1G79040', 'AT1G71500', 'AT1G44575', 'AT1G65230']	[5]	6	1
87603	0.2823	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']	[19, 20, 21, 22, 23]	7	5
69153	0.2444	['AT2G18790', 'AT1G80380', 'AT1G14345', 'AT4G33010', 'AT1G03160', 'AT2G29180']	[16]	6	1
106653	0.2381	['AT1G80380', 'AT1G03160', 'AT1G67700', 'AT2G29180', 'AT4G33010', 'AT5G42270', 'AT1G14345']	[22]	7	1
3813	0.2323	['AT1G44575', 'AT1G65230', 'AT1G71500', 'AT1G79040', 'AT2G26550', 'AT3G56040']	[2, 3]	6	2
93116	0.2292	['AT1G03160', 'AT1G67700', 'AT1G80380', 'AT1G14345', 'AT5G42270', 'AT4G33010', 'AT2G18790', 'AT2G29180']	[20]	8	1
3796	0.2208	['AT4G33010', 'AT3G08920', 'AT1G32500', 'AT3G14420', 'AT2G18790', 'AT1G16880', 'AT5G53170', 'AT2G29180']	[2]	8	1
5583	0.219	['AT3G56040', 'AT5G08540', 'AT1G71500', 'AT1G79040', 'AT2G26550', 'AT1G44575', 'AT1G65230']	[3]	7	1
106652	0.219	['AT1G80380', 'AT1G03160', 'AT1G67700', 'AT2G30695', 'AT4G33010', 'AT5G42270', 'AT1G14345']	[22]	7	1
93115	0.1667	['AT1G03160', 'AT1G67700', 'AT1G80380', 'AT1G14345', 'AT5G42270', 'AT2G30695']	[20]	6	1
1998	0.1616	['AT1G32500', 'AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G33010', 'AT5G53170']	[1, 2]	6	2
69172	0.1593	['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT5G42270', 'AT2G30695', 'AT2G37660', 'AT1G67700', 'AT3G08920', 'AT4G33010']	[16]	9	1
2006	0.1389	['AT2G29180', 'AT3G08920', 'AT3G14420', 'AT4G33010', 'AT5G53170']	[1, 2, 3]	5	3
125845	0.1376	['AT1G22450', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G53170']	[25, 26, 27, 28, 29, 30, 31, 32, 33]	7	9
141747	0.134	['AT1G50450', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830', 'AT4G38100']	[29, 30, 31, 32, 33, 34, 35, 36]	6	8
141032	0.1333	['AT1G03160', 'AT1G16880', 'AT1G67700', 'AT1G03090', 'AT2G30695', 'AT1G14345']	[29]	6	1
130374	0.1275	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G53170']	[26, 27, 28, 29, 30, 31, 32, 33]	8	8
121926	0.1267	['AT1G22450', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G53170']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	6	16
188139	0.1263	['AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G80380', 'AT3G08920', 'AT5G42270']	[48, 49]	6	2
162147	0.1238	['AT1G03160', 'AT2G29500', 'AT1G67700', 'AT3G08920', 'AT1G03090', 'AT1G16880', 'AT2G30695']	[35]	7	1
