term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	windowSize
TPO:65536	1.0	8	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820	65	108	9	44
TPO:98306	0.9247	3	AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G54500,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G58010,AT4G13010,AT4G20820,AT4G24930,AT4G38380,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G21430,AT5G52970	72	86	31	15
TPO:65539	1.0	9	AT1G07510,AT1G15820,AT1G29920,AT2G24020,AT3G24590,AT3G57680	65	108	6	44
TPO:98309	0.8033	4	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G42960,AT2G22360,AT2G24020,AT3G15360,AT3G22690,AT3G55330,AT3G57680,AT3G60370,AT4G13670,AT4G35770,AT4G39730,AT5G16660,AT5G23890,AT5G42070,AT5G52970	72	86	20	15
TPO:65542	0.6477	5	AT1G06690,AT2G40760,AT3G10130,AT3G22690,AT4G35770,AT5G42765	65	108	6	44
TPO:98314	0.9396	4	AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G54500,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G52970	72	86	32	15
TPO:87383	0.9513	2	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G42070,AT5G52970	70	80	28	11
TPO:65538	1.0	6	AT1G07510,AT1G15820,AT1G29920,AT2G42975,AT2G43010,AT3G24590,AT4G13010,AT4G20820,AT5G12470	65	108	9	44
TPO:32783	0.4	3	AT1G55370,AT1G72640,AT2G17630,AT2G30950,AT3G47060,AT4G23890,AT5G02160,AT5G13120,AT5G15250,AT5G39830	59	79	10	21
TPO:65553	0.4591	7	AT1G17850,AT1G67280,AT1G72640,AT3G26580,AT5G42765	65	108	5	44
TPO:98323	0.9146	4	AT1G06690,AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G35770,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	72	86	32	15
TPO:98330	0.8689	4	AT1G06690,AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT4G35770,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G42070,AT5G52970	72	86	30	15
TPO:98335	0.9667	1	AT1G15140,AT1G20810,AT1G79450,AT2G21160,AT2G43010,AT4G13010,AT4G24930,AT4G28025	72	86	8	15
TPO:98337	0.9	2	AT1G15140,AT1G20810,AT2G21160,AT2G43010,AT4G13010,AT4G24930,AT4G28025,AT4G39730	72	86	8	15
TPO:98338	0.9583	1	AT1G15140,AT1G20810,AT1G74070,AT1G79450,AT2G21160,AT4G13010,AT4G28025,AT5G53490	72	86	8	15
TPO:98343	0.92	2	AT1G30510,AT1G79230,AT1G79450,AT2G21160,AT2G37230,AT2G43010,AT4G13010,AT4G20820,AT4G24930,AT4G28025	72	86	10	15
TPO:98344	0.88	1	AT1G15140,AT1G20810,AT1G50250,AT2G43010,AT3G24590,AT4G13010,AT4G24930,AT4G28025,AT4G39730,AT5G21430	72	86	10	15
TPO:98346	0.9048	1	AT1G15140,AT1G20810,AT1G74070,AT2G21160,AT4G13010,AT4G28025,AT4G39730	72	86	7	15
TPO:98348	0.4222	2	AT1G14590,AT1G31180,AT1G54050,AT1G67280,AT2G27290,AT3G10470,AT4G01050,AT4G01900,AT4G04020,AT4G18370,AT4G31560,AT4G39960	72	86	12	15
TPO:98350	0.4	3	AT1G14590,AT1G72640,AT2G27290,AT3G10470,AT4G18370,AT4G24750,AT5G39830	72	86	7	15
TPO:98360	0.4222	3	AT1G14590,AT1G17850,AT1G31180,AT1G54050,AT1G67280,AT2G27290,AT3G10470,AT4G01050,AT4G01900,AT4G18370,AT4G31560,AT4G39960	72	86	12	15
TPO:98366	0.4	3	AT1G18730,AT1G54050,AT3G10470,AT4G04020,AT4G18370,AT4G39960,AT5G13120,AT5G20140	72	86	8	15
TPO:98367	0.4	3	AT1G14590,AT3G10470,AT3G15110,AT4G04020,AT4G18370,AT5G13120,AT5G20140,AT5G39830	72	86	8	15
TPO:98370	0.4	3	AT1G14590,AT2G27290,AT3G10470,AT4G18370,AT4G24750,AT5G13120,AT5G20140,AT5G39830	72	86	8	15
TPO:98372	0.4051	2	AT1G14590,AT1G31180,AT1G54050,AT1G67280,AT2G27290,AT3G10470,AT4G01050,AT4G04020,AT4G18370,AT4G31560,AT4G39960,AT5G13120,AT5G20140	72	86	13	15
TPO:99295	0.8355	6	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G55370,AT1G79230,AT2G24020,AT2G40760,AT2G43010,AT3G10130,AT3G22690,AT3G55330,AT3G57680,AT4G20820,AT4G24930,AT4G35770,AT4G39730,AT5G12470,AT5G23890,AT5G52970	72	92	22	21
TPO:98378	0.4	4	AT1G14590,AT1G17850,AT1G31180,AT1G54050,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G27290,AT2G40760,AT3G26580,AT4G01050,AT4G01900,AT4G18370,AT4G31560,AT5G42765	72	86	16	15
TPO:98380	0.4	2	AT1G14590,AT1G17850,AT1G31180,AT1G54050,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G27290,AT3G10470,AT3G26580,AT4G01050,AT4G01900,AT4G18370,AT4G31560,AT5G42765	72	86	16	15
TPO:32845	0.4	5	AT1G55370,AT1G72640,AT2G30950,AT2G40400,AT3G47060,AT4G04020,AT4G39960,AT5G02160,AT5G13120,AT5G15250	59	79	10	21
TPO:32846	0.4	3	AT1G55370,AT1G72640,AT2G17630,AT2G30950,AT2G40400,AT3G47060,AT4G39960,AT5G02160,AT5G13120,AT5G15250,AT5G39830	59	79	11	21
TPO:65615	0.9348	9	AT1G07510,AT1G15820,AT1G50250,AT2G24020,AT2G43010,AT4G13010,AT4G20820	65	110	7	46
TPO:32848	0.4	3	AT1G55370,AT1G72640,AT1G74710,AT2G40400,AT3G47060,AT4G39960,AT5G02160,AT5G15250,AT5G23890,AT5G39830	59	79	10	21
TPO:32849	0.4	4	AT1G55370,AT1G72640,AT2G40400,AT3G47060,AT4G39960,AT5G02160,AT5G13120,AT5G15250,AT5G23890,AT5G39830	59	79	10	21
TPO:65618	0.9261	5	AT1G07510,AT1G15820,AT1G50250,AT2G24020,AT5G21430	65	110	5	46
